"","id","lyric"
"1","3YZE5qDV7u1ZD1gZc47ZeR","You're here where you should be;Snow is falling as the carolers sing;It just wasn't the same;Alone on Christmas day;Presents, what a beautiful sight;Don't mean a thing if you ain't holding me tight;You're all that I need;Underneath the tree;Tonight, I'm gonna hold you close;Make sure that you know;I was lost before you;Christmas was cold and grey;Another holiday;Alone to celebrate;But then, one day, everything changed;You're all I need;Underneath the tree;You're here where you should be;Snow is falling as the carolers sing;It just wasn't the same;Alone on Christmas day;Presents, what a beautiful sight;Don't mean a thing if you ain't holding me tight;You're all that I need;Underneath the tree;I found what I was looking for;A love that's meant for me;A heart that's mine completely;Knocked me right off my feet;And this year I will fall;With no worries at all;'Cause you are near and everything's clear;You're all I need;Underneath the tree;You're here where you should be;Snow is falling as the carolers sing;It just wasn't the same;Alone on Christmas day;Presents, what a beautiful sight;Don't mean a thing if you ain't holding me tight;You're all that I need;Underneath the tree;And then one day everything changed;You're all I need;Underneath the tree, yeah;You're here where you should be;Snow is falling as the carolers sing (Oh, yeah, yeah);It just wasn't the same (Oh, yeah, yeah, yeah);Alone on Christmas day;Presents, what a beautiful sight (Oh, you're all I need);Don't mean a thing if you ain't holding me tight (Underneath the tree);You're all that I need (Underneath the tree, yeah);Underneath the tree, tonight;Oh, you're all I need;Underneath, underneath the tree"
"2","0bYg9bo50gSsH3LtXe2SQn","I don't want a lot for Christmas;There is just one thing I need;I don't care about the presents;Underneath the Christmas tree;I just want you for my own;More than you could ever know;Make my wish come true;All I want for Christmas is you, yeah;I don't want a lot for Christmas;There is just one thing I need (And I);Don't care about the presents;Underneath the Christmas tree;I don't need to hang my stocking;There upon the fireplace (Ah);Santa Claus won't make me happy;With a toy on Christmas Day;I just want you for my own (Ooh);More than you could ever know (Ooh);Make my wish come true;All I want for Christmas is you;You, baby;Oh, I won't ask for much this Christmas;I won't even wish for snow (And I);I'm just gonna keep on waiting;Underneath the mistletoe;I won't make a list and send it;To the North Pole for Saint Nick (Ah);I won't even stay awake to;Hear those magic reindeer click;'Cause I just want you here tonight (Ooh);Holding on to me so tight (Ooh);What more can I do?;Oh baby, all I want for Christmas is you;You, baby;Oh, all the lights are shining;So brightly everywhere (So brightly, baby);And the sound of children's;Laughter fills the air (Oh, oh yeah);And everyone is singing (Oh yeah);I hear those sleigh bells ringing (Oh);Santa, won't you bring me the one I really need? (Yeah, oh, oh);Won't you please bring my baby to me?;Oh, I don't want a lot for Christmas;This is all I'm asking for (Ah);I just wanna see my baby;Standing right outside my door;Oh, I just want you for my own (Ooh);More than you could ever know (Ooh);Make my wish come true;Oh baby, all I want for Christmas is you;You, baby;All I want for Christmas is you, baby (You);All I want for Christmas is you, baby (Ah, oh, ah, oh);All I want for Christmas is you, baby (You);All I want for Christmas is you, baby (All I really want, baby, ooh);All I want for Christmas is you, baby (All I want, all I really want is you)"
"3","0lLdorYw7lVrJydTINhWdI","It's beginning to look a lot like Christmas;Everywhere you go;;Take a look at the five and ten;It's glistening once again;With candy canes and silver lanes aglow;It's beginning to look a lot like Christmas;Toys in every store;But the prettiest sight to see is the holly that will be;On your own front door;A pair of hop-a-long boots and a pistol that shoots;Is the wish of Barney and Ben;;Dolls that will talk and will go for a walk;Is the hope of Janice and Jen;;And Mom and Dad can hardly wait for school to start again;It's beginning to look a lot like Christmas;Everywhere you go;;There's a tree in the Grand Hotel, one in the park as well;It's the sturdy kind that doesn't mind the snow;It's beginning to look a lot like Christmas;;Soon the bells will start;And the thing that will make them ring is the carol that you sing;Right within your heart;It's beginning to look a lot like Christmas;Toys in every store;But the prettiest sight to see is the holly that will be;On your own front door;So it's Christmas once more"
"4","2FRnf9qhLbvw8fu4IBXx78","Ah, aha;Ooh, ohh;Ohh;Last Christmas, I gave you my heart;But the very next day you gave it away;This year, to save me from tears;I'll give it to someone special;Last Christmas, I gave you my heart;But the very next day you gave it away (You gave it away);This year, to save me from tears;I'll give it to someone special (Special);Once bitten and twice shy;I keep my distance, but you still catch my eye;Tell me, baby, do you recognize me?;Well, it's been a year, it doesn't surprise me;(Happy Christmas) I wrapped it up and sent it;With a note saying, ""I love you"", I meant it;Now I know what a fool I've been;But if you kissed me now, I know you'd fool me again;Last Christmas, I gave you my heart;But the very next day you gave it away (You gave it away);This year, to save me from tears;I'll give it to someone special (Special);Last Christmas, I gave you my heart;But the very next day you gave it away;This year, to save me from tears;I'll give it to someone special (Special, oh);Oh, oh, baby;A crowded room, friends with tired eyes;I'm hiding from you and your soul of ice;My God, I thought you were someone to rely on;Me? I guess I was a shoulder to cry on;A face on a lover with a fire in his heart;A man under cover but you tore me apart;Ooh-hoo;Now I've found a real love, you'll never fool me again;Last Christmas, I gave you my heart;But the very next day you gave it away (You gave it away);This year, to save me from tears;I'll give it to someone special (Special);Last Christmas, I gave you my heart (I gave you my heart);But the very next day you gave it away (You gave me away);This year, to save me from tears (Ohh);I'll give it to someone special (Special);A face on a lover with a fire in his heart (I gave you my heart);A man under cover but you tore him apart;Maybe next year;I'll give it to someone, I'll give it to someone special;Special...;Someone..."
"5","1XBc4r6ltXjkFJBrsttwIF","Rockin' around the Christmas tree;At the Christmas party hop;Mistletoe hung where you can see;Ev'ry couple tries to stop;Rockin' around the Christmas tree;Let the Christmas spirit ring;Later we'll have some pumpkin pie;And we'll do some caroling;You will get a sentimental feeling when you hear;Voices singing, ""Let's be jolly -;Deck the halls with boughs of holly!"";Rockin' around the Christmas tree;Have a happy holiday;Everyone's dancing merrily;In a new old fashioned way;You will get a sentimental feeling when you hear;Voices singing, ""Let's be jolly -;Deck the halls with boughs of holly!"";Rockin' around the Christmas tree;Have a happy holiday;Everyone's dancing merrily;In a new old fashioned way"
"6","5hslUAKq9I9CG2bAulFkHN","It's the most wonderful time of the year;With the kids jingle belling;And everyone telling you ""be of good cheer"";It's the most wonderful time of the year;It's the hap-happiest season of all;With those holiday greetings;And gay happy meetings when friends come to call;It's the hap-happiest season of all;There'll be parties for hosting;Marshmallows for toasting;And caroling out in the snow;There'll be scary ghost stories;And tales of the glories;Of Christmases long, long ago;It's the most wonderful time of the year;There'll be much mistletoeing;And hearts will be glowing when loved ones are near;It's the most wonderful time of the year;There'll be parties for hosting;Marshmallows for toasting;And caroling out in the snow;There'll be scary ghost stories;And tales of the glories;Of Christmases long, long ago;It's the most wonderful time of the year;There'll be much mistletoeing;And hearts will be glowing when loved ones are near;It's the most wonderful time;It's the most wonderful time;It's the most wonderful time;It's the most wonderful time of the year"
"7","1Qi2wh8fFgDV7tl4Sj3f2K","Have yourself a merry little Christmas;Let your heart be light;From now on your troubles will be out of sight;Have yourself a merry little Christmas;Make the Yuletide gay;From now on your troubles will be miles away;Here we are as in olden days;Happy golden days of yore;Faithful friends who are dear to us;Gather near to us once more;Through the years we all will be together;If the fates allow;Hang a shining star upon the highest bow;So have yourself a merry little Christmas;Have yourself a merry little Christmas;So have yourself a merry little Christmas now"
"8","7vQbuQcyTflfCIOu3Uzzya","Jingle bell, jingle bell, jingle bell rock;Jingle bells swing and jingle bells ring;Snowin' and blowin' up bushels of fun;Now, the jingle hop has begun;Jingle bell, jingle bell, jingle bell rock;Jingle bells chime in jingle bell time;Dancin' and prancin' in Jingle Bell Square;In the frosty air;What a bright time, it's the right time;To rock the night away;Jingle bell time is a swell time;To go glidin' in a one-horse sleigh;Giddy-up jingle horse, pick up your feet;Jingle around the clock;Mix and a-mingle in the jinglin' feet;That's the jingle bell rock;Jingle bell, jingle bell, jingle bell rock;Jingle bells chime in jingle bell time;Dancin' and prancin' in Jingle Bell Square;In the frosty air;What a bright time, it's the right time;To rock the night away;Jingle bell time is a swell time;To go glidin' in a one-horse sleigh;Giddy-up jingle horse, pick up your feet;Jingle around the clock;Mix and a-mingle in the jinglin' feet;That's the jingle bell;That's the jingle bell;That's the jingle bell rock"
"9","7inXu0Eaeg02VsM8kHNvzM","Oh, the weather outside is frightful;But the fire is so delightful;And since we've no place to go;Let it snow, let it snow, let it snow;It doesn't show signs of stopping;And I brought some corn for popping;The lights are turned down low;Let it snow, let it snow, let it snow;When we finally kiss goodnight;How I'll hate to go out in the storm;But if you really hold me tight;All the way home I'll be warm;The fire is slowly dying;And my dear, we're still goodbying;But as long as you love me so;Let it snow, let it snow, let it snow;He doesn't care If It's in below;He's sitting by the fire's gloosy glow;He don't care about the cold and the winds that blow;He just says, ""Let it snow, let it snow, let it snow"";Let It Snow!;Oooooh Wee Goes The Storm;Why Should He Worry when he's nice and warm;His gal by his side and the lights turned low;He just says, ""Let it snow, let it snow"";I Don't Care!;(Instrumental);The weather outside Is frightful;But that fire Is ummm.. delightful;Since we've no place to go;Let it snow, Let It Snow, Let It Snow;It doesn't show signs of stopping;And I've brought lots of corn for popping;The lights are way down low;Let it snow, let it snow, let it snow;Let it snow!;When we've finally say goodnight;How I'll hate going out In a storm;But If you'll only hold me tight;All the way home I'll be warm;The fire Is slowly dying;And my dear we're still goodbying;Long as you love me so;Let it Snow, let it snow, let it snow!"
"10","6tjituizSxwSmBB5vtgHZE","Have a holly, jolly Christmas;It's the best time of the year;I don't know if there'll be snow;But have a cup of cheer;Have a holly, jolly Christmas;And when you walk down the street;Say Hello to friends you know;And everyone you meet;Oh, ho, the mistletoe;Is hung where you can see;Somebody waits for you;Kiss her once for me;Have a holly, jolly Christmas;And in case you didn't hear;Oh by golly, have a holly;Jolly Christmas this year;Oh, ho, the mistletoe;Is hung where you can see;Somebody waits for you;Kiss her once for me;Have a holly, jolly Christmas;And in case you didn't hear;Oh by golly, have a holly;Jolly Christmas this year"
