"","id","lyric"
"1","0xxZY5C9xxij3D1HkzbnfC","I was working in the lab, late one night;When my eyes beheld an eerie sight;For my monster from his slab, began to rise;And suddenly to my surprise;He did the mash, he did the monster mash;The monster mash, it was a graveyard smash;He did the mash, it caught on in a flash;He did the mash, he did the monster mash;From my laboratory in the castle east;To the master bedroom where the vampires feast;The ghouls all came from their humble abodes;To get a jolt from my electrodes;They did the mash, they did the monster mash;The monster mash, it was a graveyard smash;They did the mash, it caught on in a flash;They did the mash, they did the monster mash;The Zombies were having fun, the party had just begun;The guests included Wolfman, Dracula, and his son;The scene was rockin', all were digging the sounds;Igor on chains, backed by his baying hounds;The coffin-bangers were about to arrive;With their vocal group, 'The Crypt-Kicker Five';They played the mash, they played the monster mash;The monster mash, it was a graveyard smash;They played the mash, it caught on in a flash;They played the mash, they played the monster mash;Out from the coffin', Drac's voice did ring;Seems he was troubled by just one thing;He opened the lid and shook his fist and said;""Whatever happened to my Transylvania Twist?;It's now the mash, it's now the monster mash;The monster mash, it was graveyard smash;It's now the mash, it caught on in a flash;It's now the mash, it's now the monster mash;Now everything's cool, Drac's a part of the band;And my Monster Mash is the hit of the land;For you, the living this mash was meant too;When you get to my door, tell them Boris sent you;Then you can mash, then you can monster mash;The monster mash and do my graveyard smash;Then you can mash, you'll catch on in a flash;Then you can mash, then you can monster mash;Igor: Mash good!;Mad Scientist: Easy, Igor, you impetuous---;Igor: Mash good! Grrr!"
"2","2Fxmhks0bxGSBdJ92vM42m","White shirt now red, my bloody nose;Sleepin', you're on your tippy toes;Creepin' around like no one knows;Think you're so criminal;Bruises on both my knees for you;Don't say thank you or please;I do what I want when I'm wanting to;My soul? So cynical;So you're a tough guy;Like it really rough guy;Just can't get enough guy;Chest always so puffed guy;I'm that bad type;Make your mama sad type;Make your girlfriend mad tight;Might seduce your dad type;I'm the bad guy;Duh;I'm the bad guy;I like it when you take control;Even if you know that you don't;Own me, I'll let you play the role;I'll be your animal;My mommy likes to sing along with me;But she won't sing this song;If she reads all the lyrics;She'll pity the men I know;So you're a tough guy;Like it really rough guy;Just can't get enough guy;Chest always so puffed guy;I'm that bad type;Make your mama sad type;Make your girlfriend mad tight;Might seduce your dad type;I'm the bad guy;Duh;I'm the bad guy, duh;I'm only good at bein' bad, bad;I like when you get mad;I guess I'm pretty glad that you're alone;You said she's scared of me?;I mean, I don't see what she sees;But maybe it's 'cause I'm wearing your cologne;I'm a bad guy;I'm a bad guy;Bad guy, bad guy;I'm a bad"
"3","300zfRaCgTmEm5Eqe3HqZZ","Ghostbusters!If there's something strange;In your neighborhood;Who you gonna call?;Ghostbusters!;If there's something weird;And it don't look good;Who you gonna call?;Ghostbusters!I ain't 'fraid of no ghost;I ain't 'fraid of no ghost;If you're seeing things;Running through your head;Who can you call?;Ghostbusters!;An invisible man;Sleepin' in your bed;Ow, who you gonna call?;Ghostbusters!I ain't 'fraid of no ghost;I ain't 'fraid of no ghost;Who you gonna call?;Ghostbusters!;If you're all alone;Pick up the phone;And call;Ghostbusters!;I ain't 'fraid of no ghost;Ooh, I hear it likes the girls;Hm, I ain't 'fraid of no ghost;Yeah, yeah, yeah, yeah;Who you gonna call?;Ghostbusters!;Mmm, if you've had a dose of a;Freaky ghost, baby;You better call;Ghostbusters!;Ow!;Lemme tell ya something;Bustin' makes me feel good!;I ain't 'fraid of no ghost;I ain't 'fraid of no ghost;Don't get caught alone oh, no;Ghostbusters!;When it comes through your door;Unless you just a-want some more;I think you better call;Ghostbusters!Ow! Who you gonna call?;Ghostbusters!;Who you gonna call?;Ghostbusters!;Uh, think you better call;Ghostbusters!;Ha ha, who you gonna call?;Ghostbusters!;I can't hear you;Who you gonna call?;Ghostbusters!;Louder;Ghostbusters!;Who you gonna call?;Ghostbusters!;Who can you call?;Ghostbusters!;Who you gonna call?;Ghostbusters!;Uh, it likes the girls too;Ghostbusters!"
"4","2VOomzT6VavJOGBeySqaMc","Bum bum be-dum, bum bum be-dum bum;(What's wrong with me?);Bum bum be-dum, bum bum be-dum bum;(Why do I feel like this?);Bum bum be-dum, bum bum be-dum bum;(I'm goin' crazy now);Bum bum be-dum, bum bum be-dum bum;No more gas in the rig (Can't even get it started);Nothin' heard, nothin' said (Can't even speak about it);All my life on my head (Don't wanna think about it);Feels like I'm goin' insane, yeah;It's a thief in the night to come and grab you (Aha!);It can creep up inside you and consume you (Aha!);A disease of the mind, it can control you  (Aha!);It's too close for comfort, ah;Put on your brake lights;You're in the city of wonder;Ain't gon' play nice;Watch out, you might just go under;Better think twice;Your train of thought will be altered;So if you must falter, be wise;Your mind's in disturbia;It's like the darkness is the light;Disturbia, am I scarin' you tonight?;Your mind's in disturbia, ain't used to what you like;Disturbia, disturbia;Bum bum be-dum, bum bum be-dum bum;Bum bum be-dum, bum bum be-dum bum;Bum bum be-dum, bum bum be-dum bum;Bum bum be-dum, bum bum be-dum bum;Faded pictures on the wall;It's like they talkin' to me;Disconnected, no one calls;The phone don't even ring;I gotta get out, or figure this shit out;It's too close for comfort, oh;It's a thief in the night to come and grab you (Aha!);It can creep up inside you and consume you (Aha!);A disease of the mind, it can control you (Aha!);I feel like a monster, oh;Put on your brake lights;You're in the city of wonder (City lights);Ain't gon' play nice;Watch out, you might just go under;Better think twice (Think twice);Your train of thought will be altered;So if you must falter, be wise (Be wise);Your mind's in disturbia;It's like the darkness is the light;Disturbia, am I scarin' you tonight?;Disturbia, ain't used to what you like (What you like);Disturbia, disturbia;Bum bum be-dum, bum bum be-dum bum;Bum bum be-dum, bum bum be-dum bum;Bum bum be-dum, bum bum be-dum bum (Disturbia);Bum bum be-dum, bum bum be-dum bum (Oh-oh);Release me from this curse I'm in;Tryin' to maintain, but I'm strugglin';If you can't go, oh-oh-oh-oh-oh;I think I'm gonna ah-ah-ah-ah-ah;Put on your brake lights;You're in the city of wonder;Ain't gon' play nice;Watch out, you might just go under;(Better think twice) Better think twice;Your train of thought will be altered;So if you must falter, be wise;(So if you must falter, be wise);Your mind's in disturbia;It's like the darkness is the light;Disturbia, am I scarin' you tonight?;Disturbia, ain't used to what you like;Disturbia, disturbia;Bum bum be-dum, bum bum be-dum bum;Bum bum be-dum, bum bum be-dum bum;Bum bum be-dum, bum bum be-dum bum;Bum bum be-dum, bum bum be-dum bum"
"5","5qmq61DAAOUaW8AUo8xKhh","Why're men great 'til they gotta be great?;Woo!;I just took a DNA test, turns out I'm 100% that bitch;Even when I'm crying crazy;Yeah, I got boy problems, that's the human in me;Bling bling, then I solve 'em, that's the goddess in me;You coulda had a bad bitch, non-committal;Help you with your career just a little;You're 'posed to hold me down, but you're holding me back;And that's the sound of me not calling you back;Why're men great 'til they gotta be great? ('Til they gotta be great);Don't text me, tell it straight to my face (Tell it straight to my face);Best friend sat me down in the salon chair (Down in the salon chair);Shampoo press, get you out of my hair;Fresh photos with the bomb lighting (Bomb lighting);New man on the Minnesota Vikings (Minnesota Vikings);Truth hurts, needed something more exciting (Yee);Bom bom bi dom bi dum bum bay (Eh, yeah, yeah, yeah);You tried to break my heart?;Oh, that breaks my heart;That you thought you ever had it;No, you ain't from the start;Hey, I'm glad you're back with your bitch;I mean, who would wanna hide this?;I will never, ever, ever, ever, ever be your side chick;I put the sing in single;Ain't worried 'bout a ring on my finger;So you can tell your friend, ""Shoot your shot"" when you see 'em;It's okay, he already in my DMs;Why're men great 'til they gotta be great? ('Til they gotta be great);Don't text me, tell it straight to my face (Tell it straight to my face);Best friend sat me down in the salon chair (Down in the salon chair);Shampoo press, get you out of my hair;Fresh photos with the bomb lighting (Bomb lighting);New man on the Minnesota Vikings (Minnesota Vikings);Truth hurts, needed something more exciting (Yee);Bom bom bi dom bi dum bum bay (Eh, yeah, yeah, yeah);I'ma hit you back in a minute (Yeah, yeah);I don't play tag, bitch, I been it (One time);We don't fuck with lies (Two times), we don't do goodbyes (Woo);We just keep it pushing like ay-ay-ay;I'ma hit you back in a minute (Yeah, yeah);I don't play tag, bitch, I been it (One time);We don't fuck with lies (Two times), we don't do goodbyes (Woo);We just keep it pushing like ay-ay-ay (Woo);Why're men great 'til they gotta be great? ('Til they gotta be great);Don't text me, tell it straight to my face (Tell it straight to my face);Best friend sat me down in the salon chair (Down in the salon chair);Shampoo press, get you out of my hair;Fresh photos with the bomb lighting (Bomb lighting);New man on the Minnesota Vikings (Minnesota Vikings);Truth hurts, needed something more exciting (Yee);Bom bom bi dom bi dum bum bay (Eh, yeah, yeah, yeah);With the bomb lighting;Minnesota Vikings;Yee, eh, yeah, yeah, yeah"
"6","2YpeDb67231RjR0MgVLzsG","Yeah, I'm gonna take my horse to the old town road;I'm gonna ride 'til I can't no more;I'm gonna take my horse to the old town road;I'm gonna ride 'til I can't no more(Kio, Kio);I got the horses in the back;Horse tack is attached;Hat is matte black;Got the boots that's black to match;Ridin' on a horse, ha;You can whip your Porsche;I been in the valley;You ain't been up off that porch, now;Can't nobody tell me nothin';You can't tell me nothin';Can't nobody tell me nothin';You can't tell me nothin';Ridin' on a tractor;Lean all in my bladder;Cheated on my baby;You can go and ask her;My life is a movie;Bull ridin' and boobies;Cowboy hat from Gucci;Wrangler on my booty;Can't nobody tell me nothin';You can't tell me nothin';Can't nobody tell me nothin';You can't tell me nothin';Yeah, I'm gonna take my horse to the old town road;I'm gonna ride 'til I can't no more;I'm gonna take my horse to the old town road;I'm gonna ride 'til I can't no more;I got the hor-"
"7","4dwrL3Z5U2RZ6MZiKE2PgL","Very superstitious;Writing's on the wall;Very superstitious;Ladder's about to fall;Thirteen month old baby;Broke the looking glass;Seven years of bad luck;The good things in your past;When you believe in things;That you don't understand;Then you suffer;Superstition ain't the way;Very superstitious;Wash your face and hands;Rid me of the problem;Do all that you can;Keep me in a daydream;Keep me going strong;You don't want to save me;Sad is my song;When you believe in things;That you don't understand;Then you suffer;Superstition ain't the way;Very superstitious;Nothing more to say;Very superstitious;The devil's on his way;Thirteen month old baby;Broke the looking glass;Seven years of bad luck;Good things in your past;When you believe in things;That you don't understand;Then you suffer;Superstition ain't the way;No, no, no"
"8","20efeySIfZoiSaISGLBbNs","It's close to midnight;Something evil's lurking from the dark;Under the moonlight;You see a sight that almost stops your heart;You try to scream;But terror takes the sound before you make it;You start to freeze;As horror looks you right between your eyes;You're paralyzed;'Cause this is thriller;Thriller night;And no one's gonna save you;From the beast about to strike;You know it's thriller;Thriller night;You're fighting for your life;Inside a killer;Thriller tonight, yeah, ooh;You hear the door slam;And realize there's nowhere left to run;You feel the cold hand;And wonder if you'll ever see the sun;You close your eyes;And hope that this is just imagination;Girl, but all the while;You hear a creature creeping up behind;You're out of time;'Cause this is thriller, thriller night;There ain't no second chance;Against the thing with 40 eyes, girl;(Ooh, ooh);Thriller, thriller night;You're fighting for your life;Inside a killer, thriller tonight;Night creatures call;And the dead start to walk in their masquerade;There's no escaping the jaws of the alien this time;They're open wide;This is the end of your life, ooh;They're out to get you;There's demons closing in on every side, ooh;They will possess you;Unless you change that number on your dial;Now is the time;For you and I to cuddle close together, yeah;All through the night;I'll save you from the terror on the screen;I'll make you see;That this is thriller, thriller night;'Cause I can thrill you more;Than any ghoul would ever dare try;Thriller, thriller night;So let me hold you tight;And share a killer, thriller, chiller;Thriller here tonight;'Cause this is thriller, thriller night;Girl, I can thrill you more;Than any ghoul would ever dare try;(Ooh, ooh);Thriller, thriller night;So let me hold you tight;And share a killer, thriller;I'm gonna thrill you tonight;Darkness falls across the land;The midnight hour is close at hand;Creatures crawl in search of blood;To terrorize y'all's neighborhood;I'm gonna thrill you tonight;And whosoever shall be found;Without the soul for getting down;Must stand and face the hounds of hell;And rot inside a corpse's shell;I'm gonna thrill you tonight;(Thriller, ooh, thriller);I'm gonna thrill you tonight;(Thriller night, thriller);I'm gonna thrill you tonight;Ooh, babe, I'm gonna thrill you tonight;Thriller night, babe;The foulest stench is in the air;The funk of 40 thousand years (Thriller night, thriller);And grisly ghouls from every tomb;Are closing in to seal your doom;And though you fight to stay alive;Your body starts to shiver (I'm gonna thrill you tonight);For no mere mortal can resist;The evil of the thriller!AHAHAHAHAHAHAHAHA;AHAHAHAHAHAHAHAHA!"
"9","0RiRZpuVRbi7oqRdSMwhQY","Ayy, ayy, ayy, ayy (Ooh);Ooh, ooh, ooh, ooh (Ooh);Ayy, ayy;Ooh, ooh, ooh, ooh;Needless to say, I keep in check;She was a bad-bad, nevertheless (Yeah);Callin' it quits now, baby, I'm a wreck (Wreck);Crash at my place, baby, you're a wreck (Wreck);Needless to say, I'm keeping in check;She was a bad-bad, nevertheless;Callin' it quits now, baby, I'm a wreck;Crash at my place, baby, you're a wreck;Thinkin' in a bad way, losin' your grip;Screamin' at my face, baby, don't trip;Someone took a big L, don't know how that felt;Lookin' at you sideways, party on tilt;Ooh-ooh, some things you just can't refuse;She wanna ride me like a cruise and I'm not tryna lose;Then you're left in the dust, unless I stuck by ya;You're a sunflower, I think your love would be too much;Or you'll be left in the dust, unless I stuck by ya;You're the sunflower, you're the sunflower;Every time I'm leavin' on ya (Ooh);You don't make it easy, no (No, no);Wish I could be there for ya (Ooh);Give me a reason to, oh (Oh);Every time I'm walkin' out (Oh);I can hear you tellin' me to turn around (Oh, oh);Fightin' for my trust and you won't back down (No);Even if we gotta risk it all right now, oh (Now);I know you're scared of the unknown (Known);You don't wanna be alone (Alone);I know I always come and go (And go);But it's out of my control;And you'll be left in the dust, unless I stuck by ya;You're the sunflower, I think your love would be too much;Or you'll be left in the dust, unless I stuck by ya;You're the sunflower, you're the sunflower (Yeah)"
"10","7MXVkk9YMctZqd1Srtv4MB","I'm tryna put you in the worst mood, ah;P1 cleaner than your church shoes, ah;Milli point two just to hurt you, ah;All red Lamb' just to tease you, ah;None of these toys on lease too, ah;Made your whole year in a week too, yah;Main bitch out your league too, ah;Side bitch out of your league too, ah;House so empty, need a centerpiece20 racks a table cut from ebony;Cut that ivory into skinny pieces;Then she clean it with her face man I love my baby;You talking money, need a hearing aid;You talking bout me, I don't see the shade;Switch up my style, I take any lane;I switch up my cup, I kill any pain;Look what you've done;I'm a motherfuckin' starboy;Look what you've done;I'm a motherfuckin' starboy;Every day a nigga try to test me, ah;Every day a nigga try to end me, ah;Pull off in that Roadster SV, ah;Pockets overweight, gettin' hefty, ah;Coming for the king, that's a far cry, ah;I come alive in the fall time, INo competition, I don't really listen;I'm in the blue Mulsanne bumping New Edition;House so empty, need a centerpiece20 racks a table cut from ebony;Cut that ivory into skinny pieces;Then she clean it with her face man I love my baby;You talking money, need a hearing aid;You talking bout me, I don't see the shade;Switch up my style, I take any lane;I switch up my cup, I kill any pain;Look what you've done;I'm a motherfuckin' starboy;Look what you've done;I'm a motherfuckin' starboy;Let a nigga brag Pitt;Legend of the fall took the year like a bandit;Bought mama a crib and a brand new wagon;Now she hit the grocery shop looking lavish;Star Trek roof in that Wraith of Khan;Girls get loose when they hear this song100 on the dash get me close to God;We don't pray for love, we just pray for cars;House so empty, need a centerpiece20 racks a table cut from ebony;Cut that ivory into skinny pieces;Then she clean it with her face man I love my baby;You talking money, need a hearing aid;You talking 'bout me, I don't see the shade;Switch up my style, I take any lane;I switch up my cup, I kill any pain;Look what you've done;I'm a motherfuckin' starboy;Look what you've done;I'm a motherfuckin' starboy;Look what you've done;I'm a motherfuckin' starboy;Look what you've done;I'm a motherfuckin' starboy"
