"","id","lyric"
"1","35Xf2ABjPzUXKz19akd7Jj","Cash;MoneyAP;Oh, no;Oh, no, oh;Oh, oh no;NLE the top Shotta;I got the bun like I gotta;Get a bitch and make her famous, next minute she blocked me (Blocked me);Thirty in this Perc', I need to slow down on the roxys (On the Roxys);Gotta call my niggas dead I nearly skipped a heartbeat (Skipped a heartbeat);Lookin' for your love, bet yo' feelings is departing (Departin);Pull up on the wrong street, you niggas getting blicked out;Gun up in my hand while I fuck her wit my dick out (Dick out);We was really in the trenches thugging in the choppa house (Choppa house);Don't you tell me that it's smoke because you know that we gon' bang it out (Bang it out);I don't even know which car I'ma drive (Drive);Roll a three-five, now I'm too damn high (Too damn high);Bitch, I'm in my zone, don't you kill my vibe (Don't you kill my vibe);If a nigga play, you know them choppas gon' ride (Ride);The Michael Draco clip look like a banana (Banana);A nigga look all in this bitch, we gonna blam him (Grr, grr);A lot of choppas when we ride, raise the count up (Raise the count up);I robbed a corner store, the gun over the corner (Uh, uh, uh);And I ain't gonna spin back because I know he's dead;There's no surviving when you shoot a nigga right in his head;Paramedics answer questions 'bout that boy and the meds;And they know he ain't gon' make it so they pronounced him dead;Get a bitch and make her famous, next minute she blocked me (Blocked me);Thirty in this Perc', I need to slow down on the roxys (On the Roxys);Gotta call my niggas damn I nearly skipped a heartbeat (Skipped a heartbeat);Lookin' for your love, bet yo' feelings is departing (Departin);Pull up on the wrong street, you niggas getting blicked out;Gun up in my hand while I fuck her wit my dick out (Dick out);We was really in the trenches thugging in the choppa house (Choppa house);Don't you tell me that it's smoke because you know that we gon' bang it out (Bang it out);Yeah, feel me;NLE the top Shotta, yeah;Pull up on the wrong street, you niggas getting blicked out;Gun up in my hand while I fuck her wit my dick out (Dick out);We was really in the trenches thugging in the choppa house (Choppa house);Don't you tell me that it's smoke because you know that we gon' bang it out (it out, it out)"
"2","4bl1HBZliBuYpFZjWgefE4","Yeah, yeah;I used to fuck up my re-up;Now, it's the jet with my feet up;I got the money and power;Now none of these niggas can see us;I'm rocking furs on furs (Furs);I'm probably beefing with Peta;I gotta pay her to leave her;It's probably cheaper to keep her;I keep like twenty racks inside the Lamb' truck, a nigga slidin' dawg;I just put twenty racks on his head, a young nigga slidin', dawg;I get a bag, then double it (Double it);All of that talk, it ain't adding up (Adding up);These niggas calling a peace treaty;Bitch, I've been turning the static up;Nigga, I'm turning the savage up (Savage up);Bentley, Rolls Royce in the fleet, ayy;I bet that cannon got reach;I still keep it under the seat;I pile the rubberbands for a living, I might keep the racks in a mink (Mink);And I got Fiji on me, she mistake my Patek for the sink;I was in Dallas at V Live, honeycomb centers in the chain like a bee hive;He say he want the static with a nigga, seen him in the streets, he ain't tryna be 'bout it, ayy;Damn all the Crippin', it's serious (Serious);Blue faces in my Amiri's (Amiri's);We got a Sprinter of hoes coming in, I like my baby, just curious;I just ordered up a Rolls Royce truck with the Gucci interior (Interior), ayy;When I was bending the block with the lasers out, they thought it was Christmas;Up the block and knock his braces out, we caught 'em slipping;We was working out that vacant house, God, forgive me (Forgive me);I used to fuck up my re-up;Now, it's the jet with my feet up;I got the money and power;Now none of these niggas can see us;I'm rocking furs on furs (Furs);I'm probably beefing with Peta;I gotta pay her to leave her;It's probably cheaper to keep her;I keep like twenty racks inside the Lamb' truck, a nigga slidin' dawg;I just put twenty racks on his head, a young nigga slidin', dawg;I get a bag, then double it (Double it);All of that talk, it ain't adding up (Adding up);These niggas calling a peace treaty;Bitch, I've been turning the static up;Uh, they was wondering what Meek'd do;Yellow Lamb', look like Pikachu;Back to back in them Roll Royce, jumpin' out them ghosts playing peekaboo;Eenie, meenie, miney, moe, see a bad bitch, I could peek-a-boo;Rolls Royce to the chopper, chopper to the jet, Cali', a week or two;Ayy, all of that talk, it ain't addin' up;I've just been lowerin' them ladders up;I heard they say they gon' rob me;I hope them niggas can back it up (Back it up);Nigga, just quit all that actin' tough;See you, we turning our savage up (Savage up);Swim in the racks, drip and drown, nigga;Fuck it, I'm floodin' the Patek up (Patek up);Fuckin' that bitch like I'm mad at her;I never play with that pussy (Pussy);I keep some hittas with rachets tucked;All of them killers, don't push me (Push me);Nigga, you balling on rookie (Rookie);This shit is hall of fame (Fame);I got 2 K's, they jealous of each other, I'm treatin' them all the same (Same);I got too many bitches that I'm takin' care of and they all complain (Complain);I'm never trippin' 'bout none of these bitches 'cause I know it's all a game (Game);I paid the cost for fame, I even seen my dawg show fangs;Just for the love of the money and chains;'Member we said that we never would change;'Member we said that we never would switch;I made the call, let 'em get hit;Way that I'm built, never could snitch;Niggas get killed, fuck 'em, we diss;Fucking with us, I took my re-up and doubled it up;Baking soda started bubbling up;They tried to throw the kid under the bus, now I'm running it up;I used to fuck up my re-up;Now, it's the jet with my feet up;I got the money and power;Now none of these niggas can see us;I'm rocking furs on furs (Furs);I'm probably beefing with Peta;I gotta pay her to leave her;It's probably cheaper to keep her;I keep like twenty racks inside the Lamb' track, a nigga slidin' dawg;I just put twenty racks on his head, a young nigga slidin', dawg;I get a bag, then double it (Double it);All of that talk, it ain't adding up (Adding up);These niggas calling a peace treaty;Bitch, I've been turning the static up"
"3","0jBJIQuToUUOEx7JJkiPzm","Yeah, I really run it up, yeah;I really run it up, yeah;I really run it up, yeah;I really run it up, yeah (Spazzin' out, Pluto, spazzin' out, Pluto);I really run it up, yeah;Ain't play no games with this shit;I got that worker from Polo then hit up my guala;Then told him, ""We made for this shit"";Niggas stay workin' for commas, we stack up that guala;See, I put my name on this shit;Flipp with that smoke, on that ganja, I bang for that comma;See, I put my name on this shit;Hol' up, you (Yeah);You said they watch how I move (Yeah);You said they watch how I move (Yeah);You said they watch how I move (Yeah);You said they watch how I —;I really run it up, baby;If the topic is money, I'm comin' up;She gon' suck 'til I pop without comin' up;I'm the man in the front, you the runner up;Really don't give a fuck, yeah;How I move, way I talk, they try pick it up;I can call when I want, she be pickin' up;Niggas' bitches, they really be switchin' up;Can't play no game, I got too much to lose;Want me to fall, I got somethin' to prove;Really steal with no trace, I won't leave 'em a clue;And the truck lookin' reggae, I painted it blue;If it's me and my shawty, we hop in the coupe;My lil' youngins go crazy, they lovin' the crew;He handle business, can't wait to recruit him;Pop me a Addy, tryna make me a movie;I can't stand still when my diamonds keep movin' (Movin');Gave all my heart, tryna guide 'em to do it;Got partners who gon' tryna guide 'em with music;Lil' bro don't play 'round, if he got it, he use it (Use it);Go against us, nigga gotta be stupid;Ride 'round with the stick, how I gotta be movin' (Man);Everyday lit and them commas be movin';This shit we be doin' inside of a movie;I really run it up, yeah;Ain't play no games with this shit;I got that worker from Polo then hit up my guala;Then told him, ""We made for this shit"";Niggas stay workin' for commas, we stack up that guala;See, I put my name on this shit;Flipp with that smoke, on that ganja, I bang for that comma;See, I put my name on this shit;Hol' up, you (Yeah);You said they watch how I move (Yeah);You said they watch how I move (Yeah);You said they watch how I move (Yeah);You said they watch —;Hol' up, you (Yeah);You said they watch how I move (Yeah);You said they watch how I move (Yeah);You said they watch how I move (Yeah);You said they watch how I —;Rollie don't tick but it got big rocks;Bands in the whip, do the dash from the cops;Chain lookin' bliss, with the pole on my hip (Ayy);Let me go, I'm equipped, but don't bang with the opps (Ooh);Pain to regret but it's more that I get;Really made for this shit, money made, it don't stop;Say Heaven sent, I was made for the flip;I was made for this shit and I bang for the block (What?);Beam and a Jag', got the Benz' on the lot;Went and copped me a crib just to park up the drop (Benz, Benz, gang, gang);Fuck do you mean? I was lost in the drought (Ayy);Got the bag comin' into the stars and I'm out (What?);Money comin' in so you know a nigga goin' (Damn);Thou on the flip so you know a nigga throw it (What?);Style ever since in the game I'ma get;Got no time for this shit, get the bag and you know it, bitch;I really run it up, yeah;Ain't play no games with this shit;I got that worker from Polo then hit up my guala;Then told him, ""We made for this shit"";Niggas stay workin' for commas, we stack up that guala;See, I put my name on this shit;Flipp with that smoke, on that ganja, I bang for that comma;See, I put my name on this shit;Hol' up, you (Yeah);You said they watch how I move (Yeah);You said they watch how I move (Yeah);You said they watch how I move (Yeah);You said they watch —;Hol' up, you (Yeah);You said they watch how I move (Yeah);You said they watch how I move (Yeah);You said they watch how I move (Yeah);You said they watch how I —"
"4","09TZsMHXEtQkdmMJZPLKup","(Young Grind, stop playin' with me;EVRGRN with the heat, yeah);Hey;(Woo, woo;Woo, woo);Produced by Cre8 (Hey);Up-up the smoke, diamonds, they choke (Ice, ice, ice);Fuck my bro (Smash, smash);I'm in the white Lamborghini, the Pope (White);Hundred racks, they gon' take your soul (Hundred racks);Glock with the three and the O (Glock);Bought a yacht, put the kids on the boat (Yacht);Put a brick in the fig of the four (Hey, hey);Got a stick, it's a SIG, it'll blow (Brrt, brrt);Mix up a four (Woo, woo), my bitch, Margiela on her toes (Margiela, Margiela, Margiela);Dick up her soul (Woah), look what I did in the bowl (Bowl);Wipe that boy nose (Wipe), I go get me a bag out the glow (Bag);I do not troll (Troll, troll), I got pointers, these diamonds are bold;I'm smooth on my feet (Smooth);My bitches, they bad as can be (Bad);Stack it and pray, go to sleep (Stack it);I'm at the top of the peak (Hey);We put baguettes on top of our teeth (Woo);We put fire in front of his beak (Grrah);I can't lie, I got shooters that creep (Woo);She from Devry, she gon' suck me to sleep, whoa (Hey);Switch up the flow, they gon' bite it for sho' (Hey);Put the stick on your bitch if you hidin' on low;There's a fifth of these young niggas ready to go (Go);Richard Mille sit on my wrist, I'm the GOAT (Woah);Tag on your ho, tag on your toe (Tag);Baguettes on baguettes, my neck overloaded (Baguettes);I'm havin' your captain go run to this pole (Captain);Take off his hat, leave a rat with a hole;Ain't no cap in me (No cap), the trap be jumpin' like athletes (Hey);I get cash, you see (Cash, cash), Lamborghini, niggas ain't fast as me (Skrrt);Cookie, gas, the lean (Cookie), I get the bag casually (Bag);You niggas embarassin' (Hey), this Audemars, this is a masterpiece;Up the smoke (Up it), diamonds, they choke (Ice, ice, ice);Fuck my bro (Smash, smash), I'm in the white Lamborghini, the Pope (Let's go);Hundred racks, they gon' take your soul (Uh-huh);Glock with the three and the O (Fah-fah-fah-fah);Bought a yacht, put the kids on the boat (Uh);Put a brick in the fig of the four (Hey, hey);Got a stick, it's a SIG, it'll blow (Four times);Mix up a four (Woo, woo), my bitch, Margiela on her toes (Margiela, Margiela, Margiela);Dick up her soul (Woah), look what I did in the bowl (Bowl);Wipe that boy nose (Slatt), I go get me a bag out the glow (Bag);I do not troll (Troll, troll), I got pointers, these diamonds are bold (Four times);They wipe his nose if I say so (Yeah);It's a green light when I say go (Go);Ayy, what you gon' do for a bankroll? (Cash);Move like the mob, I got hittas on payroll (Cash);Twenty racks cash on the lawyer, the case closed;Rap money turned me to a A-hole (Uh-huh);Don't tag me when it's gunsmoke;I'm tryna knock up your block, like Lego (Okay);I'm tryna knock you off, send you to where nobody knows (Huh);My ice turned me anemic, but I'm never freezin' when it's time to up the smoke, uh (Ice, ice);She said she diggin' my flow;I make her suck me and then suck my bro;We knock 'em down by the four (Uh-huh);I stay workin' with fire at all my shows (On gang);And I still put .30's up under all my Glicks (Fah-fah-fah-fah);Double D's on my sticks (Fah-fah-fah-fah);Said she don't like me, ho, suck my dick (Suck it);When there's beef we don't pick and choose;We got more cannons than Nick (Fuck it);He get put on the news or left on his dick (Ha);Tryin' me like I'm a lick (Bitch);Up the smoke, diamonds, they choke (Ice, ice, ice);Fuck my bro (Smash, smash), I'm in the white Lamborghini, the Pope (White);Hundred racks, they gon' take your soul (Hundred racks);Glock with the three and the O (Glock);Bought a yacht, put the kids on the boat (Yacht);Put a brick in the fig of the four (Hey, hey);Got a stick, it's a SIG, it'll blow (Brrt, brrt);Mix up a four (Woo, woo), my bitch, Margiela on her toes (Margiela, Margiela, Margiela);Dick up her soul (Woah), look what I did in the bowl (Bowl);Wipe that boy nose (Wipe), I go get me a bag out the glow (Bag);I do not troll (Troll, troll), I got pointers, these diamonds are bold"
"5","66FltlEV09mPJYAyfYm8De","Ayy, look;Know what I'm sayin', I'm straight out the mud with this shit, you hear me?;I be grinding like I'm still poor, you know what I'm saying?;That's what you gotta keep doing out here;Yeah, yeah, yeah, yeah, yeah, you hear me?;YNW Melly;You niggas talking like you with it 'til we pulling up;Yeah, 'til we pulling up;These niggas talking like they with it 'til we pulling up, ayy;Bang bang, with the pistol I come bang bang;We are not the same, I bang Blood gang;Hit your ass, now your ass like Stranger Things;I'm an alien, these bitches think I'm stranger things;She ain't wanna listen to a nigga CD;Big Blood, big Blood, shoutout GD;Oh God, goddamn, can you see me?;I was with your main bitch taking a selfie;Selfie, selfie, she think I'm healthy;Hundred round on the pistol, you'd think I'm killing;Oh damn, oh damn, give me your billing;Address, we gon' pull up with them TECs, nigga;TECs, nigga, what the fuck you saying, nigga?;Spraying, nigga, fucking up your plans, nigga;Bands, nigga, running up them bands, nigga;Glock with a twenty-two clip, fuck them hands, nigga;I ain't tryna throw no motherfuckin' hands, boy;Run and up the pistol, tryna get them things off;And I wanna get 'em 'cause I'm rolling, yeah;Chopper with a dick and it's swollen;I'm swollen, I'm golden;I think that I need to just chill 'cause I'm way too damn hot;And these hoes wanna get up;Yeah, they tryna get up;We killed a couple times so, Lord, just please forgive us;And all these niggas in this stolen car got a body;And all these niggas in this stolen car on the molly;Except for me, you know I like to do it when I'm sober;I gotta keep composure, I slump a nigga over, gang;You niggas talking like you with it 'til we pulling up;Yeah, 'til we pulling up;These niggas talking like they with it 'til we pulling up, ayy;Bang bang, with the pistol I come bang bang;We are not the same, I bang Blood gang;Hit your ass, now your ass like Stranger Things;I'm an alien, these bitches think I'm stranger things;I was sleeping, now I'm woke again;They see we blowin', but I guess this shit broke again;A nigga speakin' real heat like a frying pan;These niggas talking like they with it, we gon' find your friend;Your lil' boy layin' in the cut, he wanna spin a Benz;And your main bitch wanna fuck, we tryna split her ends;Fuck that thot, she got way too much baggage;Big Glock, and I ain't even bragging, ooh;I'm super fly like I'm Aladdin, ooh;Watch for the carpet, it is satin, ooh;These niggas talkin' like they with that;Pussy boy, fuck with me, you get your wig snatched;Pussy boy, fuck with me, you get your wig snatched;Melly wilding in a stolo with the big MAC;No cap, it's suppressor, but it's flash suppressed;Niggas talking like they with it, now your ass is guessin';Where you at when you dead? We don't know, pussy;Leave your ass somewhere inside of your mama bushes;Fuck boy, I'm in your daddy bushes with it;Loading up the semi, busting at your fitted;These niggas talking, but I'm still the fucking G.O.A.T., uh;These niggas mad cause they ain't even own no boat, uh;I'm tryna get it in, these bitches snorting coke, uh;It's a party at the penthouse, she doing coke now;You niggas talking like you with it 'til we pulling up;Yeah, 'til we pulling up;These niggas talking like they with it 'til we pulling up, ayy;Bang bang, with the pistol I come bang bang;We are not the same, I bang Blood gang;Hit your ass, now your ass like Stranger Things;I'm an alien, these bitches think I'm stranger things;Fuck your money printer, baby, I'm Prancer;Hopping out the coupe, turn a nigga to a dancer;Turn you to a stripper with this motherfuckin' glizzy;Pussy boy, you played with the wrong nigga, thinking I'm a bitch;And I'ma show you;Tell your main bitch bend it over, yoga;I don't give a fuck what you 'posed to be;Niggas always tryna hit a nigga with a lecture;Pussy, we done got away with murder, shut the fuck up;Boy, you say you with it, but the pistol always tucked up;I'ma show my shit 'cause if a nigga try what, bruh?;Trying what, bruh? You got me fucked up;If they come for me inside the booth, I might go next year;If they come for me inside the booth, I might go ape shit;If they come for me inside the booth, I might go next year;If they come for me inside the booth, I might go ape shit;If they come for me inside the booth, I might go next year"
"6","70oTjr1OpM2VOuBY36WWWz","Yeah;Fresh;DuzIt;Yeah;Huh, huh, huh;I ain't gon' say too much when a nigga speakin' on that hot shit;Fuck the police, 'cause them bitches ain't gon' stop shit;Oppositions mad, if they play they gettin' popped quick;Flyest nigga in the game, yeah, I'm a cockpit;Posted on Camelot, wit' a hunnid some' shottas;I be swimmin' wit' the sharks, lil' nigga, you a lobster;Bullets heat a nigga up, like he eatin' on some pasta;And shoutout to Kingston, I keep me some Rastas;My niggas trappin' out the bando, shoutout to the Migos;If a nigga knock wrong, shoot him through the peephole;The trap always open, bitch, we ain't never closed;We movin' them packs and we movin' them kilos;Step one, step two, do my dance in this bitch;Got a hunnid some' drums like a band in this bitch;Mane she keep on bitchin', all that naggin' and shit;Hoe shut the fuck up and jus' gag on this dick;I'm a side nigga, and I love when she swallow;If a nigga say something, hit him wit' a hollow;That glizzy, knock ya meat out ya taco;Flexin' on these bitches, they call me Johnny Bravo;School of hard knocks, let me take you to class;My bitch is real skinny but she got a lot of ass;I love counting money, I get a lot of cash;If you try to take it from me, his toe gon' have a tag;I ain't gon' say too much when a nigga speakin' on that hot shit;Fuck the police, 'cause them bitches ain't gon' stop shit;Oppositions mad, if they play they gettin' popped quick;Flyest nigga in the game, yeah, I'm a cockpit;Posted on Camelot, wit' a hunnid some' shottas;I be swimmin' wit' the sharks, lil' nigga, you a lobster;Bullets heat a nigga up, like he eatin' on some pasta;And shoutout to Kingston, I keep me some Rastas;All up in the party, you know we keep them carbons;Bring a nigga chills like I work at Baskin-Robbins;I love Batman, but a young nigga robbin';Firework show, 'cause my niggas get to sparklin';I'm a hothead, I'll crash any second;He speakin' on who? Send his bitch ass to heaven;Extended clips, when we tote them MAC-11's;My niggas they be crippin', they be screamin' out them 7's;Why you investigating me? 'Cause I don't know a thing;And I'ma always keep a solid, I ain't never sang;You know I'm Shotta Fam, always gotta rep the gang;He kept on dissin' so a nigga had to snatch his brain;Had to snatch his brain (Had to snatch that nigga brain);I had to snatch his brain (Had to snatch that nigga brain);I had to make it rain (Make that mothafucka' rain);R. Kelly, let that fuckin' choppa sing, yeah (Make it sing)"
"7","1n760oPAl7dDkGBkvKzFY6","Zaytoven;Zay-fuckin'-toven;Fuckin' on his bitch in the back of somebody house;If it ain't Zay, then it's up like your brother's spouse;I don't want sex from your girl, I would like mouth;My bitch booty got dents like an old couch;Finna show my ass, let 'em know what a nigga on;Talkin' out the neck, quickest way to see a nigga gone;Roll around with six different names like I'm Sean Combs;My gang, I'ma be attached like a human bone;This bitch wanna get fucked, she gon' get flown;Fuck it, she gon' get flew, beat it 'til it turn blue (Go 'head);Why got one bitch? Nigga, I can have two;Glock on the hip like one side got glue;Got a little older, then I started hangin' with the Jews;Big brain shawty with a high enough IQ (Ayy);Big three shots comin' in on the IV;Nigga got coke on the blanket, it's LV;Can't a nigga broker tell me nothin' and that's on God;Niggas at the park lookin' at me like a young god;Bro'nem snatch a nigga chain, call him Rashad;One bitch black, one Asian, now it's Rush Hour;Thick white bitch, same color as some cauliflower;Shit 'bout to get real lit, keep the door closed;Bentley coupe two doors, Bentley truck four doors (Go);Fill a bitch up with 'bout four holes;She ain't tryna fuck, that's a no-go (Ayy);Kick the bitch out, that's a waste ho;Hey, hey (Keed, talk to 'em);All my shooters don't play, yeah (Don't play);Beat that pussy like a bass, yeah (Boom);High top shoes, no lace, yeah (No cap);Bad bitch came from L.A., yeah (L.A.);Whole lotta shots, no trace (Bang);I walked in, tryna call my own plays (Tryna call 'em);Yeah, we got a chopper, chop the top off the Wraith (Chop-chop, chop-chop);I count a backend just to rock out the stage (Yeah);Chanel, yeah, for real, yeah (Rockstar);We drippin' this shit all day (Yeah);Go get millions, that's an accomplishment (Keed, talk to 'em);Ain't fuckin' with y'all borin' hoes, no way (No, sir);I ain't fuckin with y'all, oh no (Let's go);I send shots where your mother stay (Say what?);Just 'cause we don't care too;I was geeked out in that Maybach, shit (Yes, sir);I was drivin' it with no hands, ooh (Skrrt, skrrt);I hopped in the Hellcat, shit;I'm drivin' it with no hands too (No cap);I don't lose (No, sir);No, y'all boys ain't havin' no clue (Let's go), yeah;Smokin' big blunts of White Runtz;While I'm kicking shit with Lil Uzi;I'll take the cam', make a movie, yeah (Yeah);I'll pop the shit on your order (Pop it);Niggas ain't playin', we'll lose it;We havin' bad bitches, big booties (Bad bitches, let's go, Keed, talk to 'em);I'm on some slimeball time (Slatt, slatt);I bring them slimeballs 'round (Slatt);I'm with the same ones that pullin' me down (Yeah);Ain't holdin' up, I'm on the grind;Play with Lil Keed, it's a whole lotta shots;I don't know why she cryin', I don't give a fuck (Uh-uh);She know I'm a dog, she know I'm a lot (Yes, sir);Hey, hey (Keed, talk to 'em);All my shooters don't play, yeah (Don't play);Beat that pussy like a bass, yeah (Boom);High top shoes, no lace, yeah (No cap);Bad bitch came from L.A., yeah (L.A.);Whole lotta shots, no trace (Bang);I walked in, tryna call my own plays (Tryna call 'em);Yeah, we got a chopper, chop the top off the Wraith (Chop-chop, chop-chop);I count a backend just to rock out the stage (Yeah);Chanel, yeah, for real, yeah (Rockstar);We drippin' this shit all day (Yeah);Go get millions, that's an accomplishment"
"8","5hDAT527wXWNBnJlujhuUs","Oh-oh;Ayy, Royce, you did it right here;Still poppin' Xans, 2019;Pour up the lean, got me stuck in a dream (Lean);Started hittin' licks back in 2014 ('14);I got the ice on me, drippin' CELINE (CELINE);Flawless came in off a hun' (Hun');Me and my niggas still drippin' for fun (Yeah, we drippin');Been knew I was the one (One);Still got niggas on the run, yeah (On the run, yeah);I got these diamonds, my chain swang;I got these bands, ain't shit changed;Talkin' like you want that smoke (Smoke);We want the same thing (Brra);I got a brand new check (Check);Then I put ten on my neck, mmm;Then I got a new Patek, yeah;Fly in that bitch with a TECSix on a new fit, fifty for a drop-top (Drop);I was off a bean, the Tech made me Wock' talk (Talk);Never been a lame, ain't shit to make her top drop;Smokin' on gas, 'Wood how I lift off;Last year was broke, this year flooded a Patek;I keep forty racks in my Seattle attic;I hit her two times, then you niggas can have it (Oh-oh);My young niggas pull up and shoot like the Magic (Prrt);Still poppin' Xans, 2019;Pour up the lean, got me stuck in a dream (Lean);Started hittin' licks back in 2014 ('14);I got the ice on me, drippin' CELINE (CELINE);Flawless came in off a hun' (Hun');Me and my niggas still drippin' for fun (Yeah, we drippin');Been knew I was the one (One);Still got niggas on the run, yeah (On the run, yeah);I made it out of the hood (Hood);I still got some dawgs on the run, yeah;This shit comin' in by the ton (Ton);I started this rap shit for fun, yeah;Last weekend I was in Milan (Milan);You niggas ain't did what I done, yeah;We fuck in the rise of the sun (Sun);My girl got a bag full of buns, yeah;Hit it, I speed up the Porsche (Skrrt);911, it's a sport (Sport);They pay to listen to my voice (Voice);Rich or poor, gotta make you a choice (Choice);I can play with your ho, make her moist (Yeah);Told her ""Call me,"" she don't need a toy (Call);I'm a saucy young nigga, no soy (Soy, oh-oh);And they know not to play with the boy, yeah;Still poppin' Xans, 2019;Pour up the lean, got me stuck in a dream (Lean);Started hittin' licks back in 2014 ('14);I got the ice on me, drippin' CELINE (CELINE);Flawless came in off a hun' (Hun');Me and my niggas still drippin' for fun (Yeah, we drippin');Been knew I was the one (One);Still got niggas on the run, yeah (On the run, yeah);Ayy, Royce, you did it right here"
"9","5FkoSXiJPKTNyYgALRJFhD","Bitch sit on my face, I attack that;Choose up, lil' junt, I'm finna pack him;When it comes to my bitch, I'm straight active;Dirtball in the coupe smokin' cat piss;Lil' bitch, shut the fuck up;Tell your best friend, shut the fuck up, ayy;Lil' bitch, shut the fuck up;Tell your best friend, shut the fuck up, ayy;You know I love it when you talk dirty;Messy, you my orange soda shorty;You act like a lil' me, I wanna fuck you;You the type to kill me, I won't touch you;You want me drop a band on some cute shoes?;You want me be the man you can vent to?;You let me beat it up, you let me practice;Now I'm finna lay you on the mattress;Bitch sit on my face, I attack that (Yeah);Choose up, lil' junt, I'm finna pack him;When it comes to my bitch, I'm straight active;Dirtball in the coupe smokin' cat piss;Lil' bitch, shut the fuck up;Tell your best friend, shut the fuck up, ayy;Lil' bitch, shut the fuck up;Tell your best friend, shut the fuck up, ayy (Ayy, pull up, ayy);My lil' baby low-key a flexer;Six figs on the whip, that's a price tag;Lil' best friend bitch tried to press me;I'm that underground nigga with the check, though;I hate a bitch that I can't impress;When you come see the crib, you better die, ho;Young nigga sneakin' in through your side door;Baby Keem, not a wave, I'm a vibe, ho;Seven fig nig with the big drip on me (Yeah);Post on your block with your wish list on me;Bitch sit on my face, I attack that;Choose up, lil' junt, I'm finna pack him;When it comes to my bitch, I'm straight active;Dirtball in the coupe smokin' cat piss;Lil' bitch, shut the fuck up;Tell your best friend, shut the fuck up, ayy;Lil' bitch, shut the fuck up;Tell your best friend, shut the fuck up, ayy"
"10","6fWa5CRgy0z30OeGZyMBvD","Speaker Bangers;Look, uh, look;Heart been broke so many times I don't know what to believe;Mama say it's my fault, it's my fault, I wear my heart on my sleeve;Think it's best I put my heart on ice, heart on ice 'cause I can't breathe;I'ma put my heart on ice, heart on ice, it's gettin' the best of me;While in the cell with Lil' Hakeem, after I slapped him I had told him;“I don't know how you get down with them clowns but I'm a soldier”No one could understand, I had way too much aggression;That built over the years from my abandoned adolescence;See I done been lied to, backstabbed, and heartbroken;I wanted to cry but I was too afraid to open;Prayin' one day I'd find a peace of mind by the ocean;I spent all my time committing crimes to get closer;While at my nana house I play the couch, starin' at the ceiling;Tryin' not to get in my feelings;Thinkin' of a way I could make these millions;Maybe that'll take this pain away and clear up all these rainy days, yeah;Heart been broke so many times I don't know what to believe;Mama say it's my fault, it's my fault, I wear my heart on my sleeve;Think it's best I put my heart on ice, heart on ice 'cause I can't breathe;I'ma put my heart on ice, heart on ice, it's gettin' the best of me;Yeah, yeah;Yeah, yeah;Yeah, yeah, yeah;Yeah, yeah;Brrt"
