"","id","lyric"
"1","7cCf8vPXJw4e7e2CQYyYgi","When I first saw you, I saw love;And the first time you touched me, I felt love;And after all this time;You're still the one I love;Mmm, yeah;Looks like we made it;Look how far we've come my baby;We mighta took the long way;We knew we'd get there someday;They said, “I bet they'll never make it”;But just look at us holding on;We're still together, still going strong;(You're still the one);You're still the one I run to;The one that I belong to;You're still the one I want for life;(You're still the one);You're still the one that I love;The only one I dream of;You're still the one I kiss goodnight;Ain't nothing better;We beat the odds together;I'm glad we didn't listen;Look at what we would be missing;They said, “I bet they'll never make it”;But just look at us holding on;We're still together, still going strong;(You're still the one);You're still the one I run to;The one that I belong to;You're still the one I want for life;(You're still the one);You're still the one that I love;The only one I dream of;You're still the one I kiss goodnight;You're still the one;(Yeah, you're still the one);You're still the one I run to;The one that I belong to;You're still the one I want for life;(Ooh, you're still the one);You're still the one that I love;The only one I dream of;You're still the one I kiss goodnight;I'm so glad we made it;Look how far we've come my baby"
"2","46n2EGFnPC3tzWCN1Aqe26","When the visions around you;Bring tears to your eyes;And all that surrounds you;Are secrets and lies;I'll be your strength;I'll give you hope;Keeping your faith when it's gone;The one you should call;Was standing there all along;And I will take you in my arms;And hold you right where you belong;Til' the day my life is through;This I promise you;This I promise you;I've loved you forever;In lifetimes before;And I promise you never;Will you hurt anymore;I give you my word;I give you my heart;This is a battle we've won;And with this vow;Forever has now begun;Just close your eyes (close your eyes);Each loving day;I know this feeling won't go away (no);Till the day my life is through;This I promise you..;This I promise you..;Over and over I fall;When I hear you call;Without you in my life, baby;I just wouldn't be living at all;And I will take you in my arms;And hold you right where you belong;Til' the day my life is through;This I promise you;Just close your eyes;Each loving day;I know this feeling won't go away (no);Every word I say is true;This I promise you;Every word I say is true;This I promise you;Ooh, I promise you"
"3","2rgHU2Zgd6owbyavzhrk8U","Yeah, yeah;Baby, please try to forgive me;Stay here don't put out the glow (Glow, glow);Hold me now don't bother;If every minute it makes me weaker;You can save me from the man that I've become, oh yeah;Looking back on the things I've done;I was trying to be someone;I played my part, kept you in the dark;Now let me show you the shape of my heart;Sadness is beautiful, loneliness that's tragical;So help me I can't win this war, oh no;Touch me now, don't bother;If every second it makes me weaker;You can save me from the man I've become;Looking back on the things I've done;I was trying to be someone;I played my part, kept you in the dark;Now let me show you the shape of my heart;I'm here with my confession;Got nothing to hide no more;I don't know where to start;But to show you the shape of my heart;I'm lookin' back on things I've done;I never wanna play the same old part;I'll keep you in the dark (In the dark);Now let me show you the shape of my heart;Looking back on the things I've done;I was trying to be someone (Trying to be someone);I played my part, kept you in the dark;Now let me show you the shape of my heart;Looking back on the things I've done;I was trying to be someone;I played my part, kept you in the dark;Now let me show you the shape of;Show you the shape of my heart"
"4","69hwHdKl4Y1HusAutt3W6q","I'll be your dream, I'll be your wish;I'll be your fantasy;I'll be your hope, I'll be your love;Be everything that you need;I'll love you more with every breath;Truly, madly, deeply do;I will be strong, I will be faithful;Cause I'm counting on;A new beginning, a reason for living;A deeper meaning, yeah;I wanna stand with you on a mountain;I wanna bathe with you in the sea;I wanna lay like this forever;Until the sky falls down on me;And when the stars are shining;Brightly in the velvet sky;I'll make a wish send it to heaven;Then make you want to cry;The tears of joy for all the;Pleasure and the certainty;That we're surrounded by the;Comfort and protection of;The highest powers, in lonely hours;The tears devour you;I wanna stand with you on a mountain;I wanna bathe with you in the sea;I wanna lay like this forever;Until the sky falls down on me;Oh can you see it baby?;You don't have to close your eyes;Cause it's standing right before you;All that you need will surely come;I'll be your dream, I'll be your wish;I'll be your fantasy;I'll be your hope, I'll be your love;Be everything that you need;I'll love you more with every breath;Truly, madly, deeply do;Ooh, ooh;I wanna stand with you on a mountain;I wanna bathe with you in the sea;I wanna lay like this forever;Until the sky falls down on me;I wanna stand with you on a mountain;I wanna bathe with you in the sea;I want to live like this forever;Until the sky falls down on me;Ooh-ooh;Ooh, yeah;Oh, oh;La-da-da-da-dada, la-la-la-la;La-da-da-da-dada, la-la-la"
"5","2PZGLmbjABSqsEeznQJFSu","For all those times you stood by me;For all the truth that you made me see;For all the joy you brought to my life;For all the wrong that you made right;For every dream you made come true;For all the love I found in you;I would be forever thankful, baby;You're the one who held me up;Never let me fall;You're the one who saw me through, through it all;You were my strength when I was weak;You were my voice when I couldn't speak;You were my eyes when I couldn't see;You saw the best there was in me;Lifted me up when I couldn't reach;You gave me faith 'cause you believed;I'm everything I am;Because you loved me;You gave me wings and made me fly;You touched my hand, I could touch the sky;I lost my faith, you gave it back to me;You said no star was out of reach;You stood by me and I stood tall;I had your love, I had it all;I'm grateful for each day you gave me;Maybe I don't know that much;But I know this much is true;I was blessed because I was loved by you;You were my strength when I was weak (You were my strength);You were my voice when I couldn't speak;You were my eyes when I couldn't see;You saw the best there was in me;Lifted me up when I couldn't reach;You gave me faith 'cause you believed;I'm everything I am;Because you loved me;You were always there for me;The tender wind that carried me;A light in the dark, shining your love into my life;You've been my inspiration;Through the lies, you were the truth;My world is a better place because of you;You were my strength when I was weak (You were my strength);You were my voice when I couldn't speak (When I couldn't speak);You were my eyes when I couldn't see;You saw the best there was in me;Lifted me up when I couldn't reach;You gave me faith 'cause you believed;I'm everything I am;Because you loved me;You were my strength when I was weak;You were my voice when I couldn't speak (My voice);You were my eyes when I couldn't see;You saw the best there was in me;Lifted me up when I couldn't reach;You gave me faith 'cause you believed;I'm everything I am;Because you loved me;Oh;I'm everything I am;Because you loved me"
"6","7BD50ATrF3Vab5FQy7vtK8","How do I get through one night without you?;If I had to live without you;What kind of life would that be?;Oh, I, I need you in my arms, need you to hold;You're my world, my heart, my soul and if you ever leave;Baby you would take away everything good in my life;And tell me now;How do I live without you? I want to know;How do I breathe without you if you ever go?;How do I ever, ever survive?;How do I, how do I, oh, how do I live?;Without you there'd be no sun in my sky;There would be no love in my life;There'd be no world left for me;And I, baby, I don't know what I would do;I'd be lost if I lost you, if you ever leave;Baby, you would take away everything real in my life;And tell me now;How do I live without you? I want to know;How do I breathe without you if you ever go?;How do I ever, ever survive?;How do I, how do I, oh, how do I live?;Please, tell me, baby;How do I go on if you ever leave?;Baby, you would take away everything, I need you with me;Baby, don't you know that you're everything good in my life?;And tell me now;How do I live without you? I want to know;How do I breathe without you if you ever go;How do I ever, ever survive?;How do I, how do I, oh, how do I live?;How do I live without you?;How do I live without you, baby?;How do I live?"
"7","0CjrIEPmqIKnBHy99hun3v","It's undeniable;That we should be together;It's unbelievable how I used to say that I'd fall never;The basis is need to know, if you don't know just how I feel;Then let me show you now that I'm for real;If all things in time, time will reveal;Yeah;One, you're like a dream come true;Two, just wanna be with you;Three, girl, it's plain to see;That you're the only one for me, and;Four, repeat steps one through three;Five, make you fall in love with me;If ever I believe my work is done;Then I start back at one;Yeah, yeah;It's so incredible the way things work themselves out;And all emotional, once you know what it's all about, babe;And undesirable for us to be apart;Never would've made it very far;'Cause you know you've got the keys to my heart;'Cause...;One, you're like a dream come true;Two, just wanna be with you;Three, girl it's plain to see;That you're the only one for me, and;Four, repeat steps one through three;Five, make you fall in love with me;If ever I believe my work is done;Then I start back at one;Say farewell to the dark of night, I see the coming of the sun;I feel like a little child whose life has just begun;You came and breathed new life into this lonely heart of mine;You threw out the life-line just in the nick of time;One, you're like a dream come true;Two, just wanna be with you;Three, girl it's plain to see;That you're the only one for me, and;Four, repeat steps one through three;Five, make you fall in love with me;If ever I believe my work is done;Then I start back at one"
"8","4FCb4CUbFCMNRkI6lYc1zI","There's a hero;If you look inside your heart;You don't have to be afraid;Of what you are;There's an answer;If you reach into your soul;And the sorrow that you know;Will melt away;And then a hero comes along;With the strength to carry on;And you cast your fears aside;And you know you can survive;So when you feel like hope is gone;Look inside you and be strong;And you'll finally see the truth;That a hero lies in you;It's a long road;When you face the world alone;No one reaches out a hand for you to hold;You can find love;If you search within yourself;And the emptiness you felt;Will disappear;And then a hero comes along;With the strength to carry on;And you cast your fears aside;And you know you can survive;So when you feel like hope is gone;Look inside you and be strong;And you'll finally see the truth;That a hero lies in you;Lord knows;Dreams are hard to follow;But don't let anyone;Tear them away;Hold on;There will be tomorrow;In time;You'll find the way;And then a hero comes along;With the strength to carry on;And you cast your fears aside;And you know you can survive;So when you feel like hope is gone;Look inside you and be strong;And you'll finally see the truth;That a hero lies in you;That a hero lies in you;That a hero lies in you"
"9","5w84TM00wX2Oa9F7UETpPJ","There were nights when the wind was so cold;That my body froze in bed;If I just listened to it;Right outside the window;There were days when the sun was so cruel;That all the tears turned to dust;And I just knew my eyes were;Drying up forever;I finished crying in the instant that you left;And I can't remember where or when or how;And I banished every memory you and I had ever made;But when you touch me like this;And you hold me like that;I just have to admit;That it's all coming back to me;When I touch you like this;And I hold you like that;It's so hard to believe but;It's all coming back to me;(It's all coming back, it's all coming back to me now);There were moments of gold;And there were flashes of light;There were things I'd never do again;But then they'd always seemed right;There were nights of endless pleasure;It was more than any laws allow;Baby, baby;If I kiss you like this;And if you whisper like that;It was lost long ago;But it's all coming back to me;If you want me like this;And if you need me like that;It was dead long ago;But it's all coming back to me;It's so hard to resist;And it's all coming back to me;I can barely recall;But it's all coming back to me now;But it's all coming back;There were those empty threats and hollow lies;And whenever you tried to hurt me;I just hurt you even worse;And so much deeper;There were hours that just went on for days;When alone at last we'd count up all the chances;That were lost to us forever;But you were history with the slamming of the door;And I made myself so strong again somehow;And I never wasted any of my time on you since then;But if I touch you like this;And if you kiss me like that;It was so long ago;But it's all coming back to me;If you touch me like this;And if I kiss you like that;It was gone with the wind;But it's all coming back to me;(It's all coming back, it's all coming back to me now);There were moments of gold;And there were flashes of light;There were things we'd never do again;But then they'd always seemed right;There were nights of endless pleasure;It was more than all your laws allow;Baby, baby, baby;When you touch me like this;And when you hold me like that;It was gone with the wind;But it's all coming back to me;When you see me like this;And when I see you like that;Then we see what we want to see;All coming back to me;The flesh and the fantasies;All coming back to me;I can barely recall;But it's all coming back to me now;If you forgive me all this;If I forgive you all that;We forgive and forget;And it's all coming back to me;When you see me like this;And when I see you like that;We see just what we want to see;All coming back to me;The flesh and the fantasies;All coming back to me;I can barely recall, but it's all coming back to me now;(It's all coming back to me now);And when you kiss me like this;(It's all coming back to me now);And when I touch you like that;(It's all coming back to me now);If you do it like this;(It's all coming back to me now);And if we"
"10","4DnzD0WEiffpsmj5iiT3XU","My love;There's only you in my life;The only thing that's bright;My first love;You're every breath that I take;You're every step I make;And I;I want to share;All my love with you;No one else will do;And your eyes;Your eyes, your eyes;They tell me how much you care;Ooh yes, you will always be;My endless love;Two hearts;Two hearts that beat as one;Our lives have just begun;Forever;(Ohhhhhh);I'll hold you close in my arms;I can't resist your charms;And love;Oh, love;I'll be a fool;For you;I'm sure;You know I don't mind;Oh, you know I don't mind;Cause you;You mean the world to me;Oh;I know;I know;I've found in you;My endless love;Oooh-woow;Boom, boom;And, yes;You'll be the only one;Cause no one can deny;This love I have inside;And I'll give it all to you;My love;My love, my love;My endless love"
