,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",8809,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
2,Starboy,"The Weeknd",6937,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
3,Closer,"The Chainsmokers",6138,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
4,"Let Me Love You","DJ Snake",6048,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
5,"Don't Wanna Know","Maroon 5",5135,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,5076,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
7,"Just Hold On","Steve Aoki",4861,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
8,"Call On Me - Ryan Riback Extended Remix",Starley,4782,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
9,"In the Name of Love","Martin Garrix",4502,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
10,Human,"Rag'n'Bone Man",4413,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
11,"I Feel It Coming","The Weeknd",4393,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
12,Heathens,"Twenty One Pilots",4364,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
13,"Say You Won't Let Go","James Arthur",4184,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
14,"My Way","Calvin Harris",4166,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
15,"Cheap Thrills",Sia,3960,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
16,"24K Magic","Bruno Mars",3949,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
17,"Treat You Better","Shawn Mendes",3944,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
18,Starving,"Hailee Steinfeld",3940,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
19,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",3889,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
20,"One Dance",Drake,3860,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
21,"All Night","The Vamps",3771,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0
22,"Black Beatles","Rae Sremmurd",3745,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
23,"Side To Side","Ariana Grande",3634,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
24,"Don't Let Me Down","The Chainsmokers",3598,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
25,"Now and Later","Sage The Gemini",3589,https://open.spotify.com/track/08WPvDEsHvTFuB9w8tC2OS
26,"All We Know","The Chainsmokers",3581,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
27,Mercy,"Shawn Mendes",3495,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
28,"Fake Love",Drake,3342,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
29,Alone,"Alan Walker",3310,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p
30,"Love Me Now","John Legend",3294,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
31,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",3228,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
32,"Bad Things (with Camila Cabello)","Machine Gun Kelly",3222,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
33,"We Don't Talk Anymore","Charlie Puth",3127,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
34,"Chantaje (feat. Maluma)",Shakira,3089,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
35,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",3069,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
36,"Shed a Light","Robin Schulz",3055,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
37,"The Mack",Nevada,2999,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO
38,"By Your Side","Jonas Blue",2788,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j
39,"I Got You","Bebe Rexha",2736,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
40,"I Would Like","Zara Larsson",2735,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6
