"","Felipe Araújo","João Gustavo e Murilo","Marília Mendonça","Zé Neto & Cristiano","Lauana Prado","Matheus & Kauan","Márcia Fellipe","Gusttavo Lima","Gustavo Mioto","MC L da Vinte","Jorge & Mateus","Melim","MC Kevin o Chris","Mc Livinho","Lucas Lucco","Dilsinho","Luan Santana","Pk","Diego & Victor Hugo","Wesley Safadão","Dennis DJ","Lady Gaga","Tropkillaz","Henrique & Juliano","Maiara & Maraisa","Pineapple StormTv","Lagum","IZA","Anitta","Lexa","Gabriel Diniz","Shawn Mendes","Humberto & Ronaldo","Mano Walter","Ariana Grande","Yasmin Santos","Marshmello","Pedro Sampaio","POCAH","Clau","Dynho Alves","Felipe Original","Xand Avião","MC Kevinho","Vitor Kley","Alok","Avine Vinny","Vitão","Oriente","MC JottaPê","Ludmilla","Projota","Post Malone","George Henrique & Rodrigo","Henrique & Diego","Ed Sheeran","Imagine Dragons","Billie Eilish","Ferrugem","MC Du Black","Diego & Arnaldo","Queen"
"Felipe Araújo",0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"João Gustavo e Murilo",1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Marília Mendonça",1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Zé Neto & Cristiano",1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Lauana Prado",1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Matheus & Kauan",1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Márcia Fellipe",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gusttavo Lima",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Gustavo Mioto",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"MC L da Vinte",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
