"","Region","Track.Name","Artist","total_stream","yearly_rank","track_id","artists","artists_IDs","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","Artist_ID"
"1","ar","Adan y Eva","Paulo Londra",43259099,1,"132ALUzVLmqYB4UsBj5qD6","Paulo Londra","3vQ0GE3mI0dAaxIMYe5g7z",0.767,0.709,1,-4.47,1,0.336,0.323,0,0.0745,0.72,171.993,256972,4,"3vQ0GE3mI0dAaxIMYe5g7z"
"2","ar","Calma - Remix","Pedro Capó",35550205,2,"5iwz1NiezX7WWjnCgY5TH4","Pedro Capó;Farruko","4QVBYiagIaa6ZGSPMbybpy;329e4yvIujISKGKz1BZZbO",0.826,0.773,11,-4.218,0,0.0524,0.323,0,0.143,0.761,126.899,238200,4,"4QVBYiagIaa6ZGSPMbybpy"
"3","ar","Con Calma","Daddy Yankee",32072794,3,"5w9c2J52mkdntKOmRLeM2m","Daddy Yankee;Snow","4VMYDCV2IEDYJArk749S6m;3uZFBSsMiooimnprFL9jD1",0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,193227,4,"4VMYDCV2IEDYJArk749S6m"
"4","ar","Pa Mí - Remix","Dalex",31720059,4,"224EVTFiLsdQignUFLvDeH","Dalex;Rafa Pabön;Khea;Sech;Cazzu;Feid;Lenny Tavárez","0KPX4Ucy9dk82uj4GpKesn;11YLRSsZA3YVuQQtHXKTlz;4m6ubhNsdwF4psNf3R8kwR;77ziqFxp5gaInVrF2lj4ht;6w3SkAHYPsQ1bxV7VDlG5y;2LRoIwlKmHjgvigdNGBHNo;1pQWsZQehhS4wavwh7Fnxd",0.688,0.62,11,-8.029,0,0.22,0.753,5.27e-06,0.158,0.727,170.018,360960,4,"0KPX4Ucy9dk82uj4GpKesn"
"5","ar","Tal Vez","Paulo Londra",31440151,5,"46lvmzK8wxAy66tjzXXSh0","Paulo Londra","3vQ0GE3mI0dAaxIMYe5g7z",0.849,0.655,8,-2.899,1,0.106,0.266,0,0.0781,0.76,161.966,264483,4,"3vQ0GE3mI0dAaxIMYe5g7z"
"6","ar","Otro Trago","Sech",30106180,6,"1Ej96GIBCTvgH7tNX1r3qr","Sech;Darell","77ziqFxp5gaInVrF2lj4ht;1TtXnWcUs0FCkaZDPGYHdf",0.747,0.7,0,-4.669,1,0.341,0.136,0.000167,0.11,0.62,176.036,225933,4,"77ziqFxp5gaInVrF2lj4ht"
"7","ar","Desconocidos","Mau y Ricky",26486406,7,"0s5DNDV6LAKn2u2Ufa3VjQ","Mau y Ricky;Manuel Turizo;Camilo","2wkoKEfS6dXwThbyTnZWFU;0tmwSHipWxN12fsoLcFU3B;28gNT5KBp7IjEOQoevXf9N",0.709,0.771,7,-4.598,1,0.166,0.146,3.29e-06,0.249,0.709,174.006,204453,4,"2wkoKEfS6dXwThbyTnZWFU"
"8","ar","Secreto","Anuel AA",25511499,8,"5W83ErFkO3aKAIS1WMi6u0","Anuel AA;KAROL G","2R21vXR83lH98kGeO99Y66;790FomKkXshlbRYZFtlgla",0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987,258800,4,"2R21vXR83lH98kGeO99Y66"
"9","ar","China","Anuel AA",25439401,9,"2ksOAxtIxY8yElEWw8RhgK","Anuel AA;Daddy Yankee;KAROL G;J Balvin;Ozuna","2R21vXR83lH98kGeO99Y66;4VMYDCV2IEDYJArk749S6m;790FomKkXshlbRYZFtlgla;1vyhD5VmyZ7KMfW5gqLgo5;1i8SpTcr7yvPOmcqrbnVXY",0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,301714,4,"2R21vXR83lH98kGeO99Y66"
"10","ar","Callaita","Bad Bunny",25149008,10,"2TH65lNHgvLxCKXM3apjxI","Bad Bunny;Tainy","4q3ewBCX7sLwd24euuV69X;0GM7qgcRCORpGnfcN2tCiB",0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534,4,"4q3ewBCX7sLwd24euuV69X"
