Position,Track Name,Artist,Streams,URL,Date,Region
Position,Track Name,Artist,Streams,URL,2018-11-02,bg
1,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,3093,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2018-11-02,bg
2,Without Me,Halsey,2382,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2018-11-02,bg
3,SICKO MODE,Travis Scott,2266,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2018-11-02,bg
4,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,2117,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2018-11-02,bg
5,Shallow,Lady Gaga,1969,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2018-11-02,bg
6,Kiss and Make Up,Dua Lipa,1956,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2018-11-02,bg
7,Venom - Music From The Motion Picture,Eminem,1859,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4,2018-11-02,bg
8,Woman Like Me (feat. Nicki Minaj),Little Mix,1827,https://open.spotify.com/track/6rrTr2HEAzlpC4KWZxF3S1,2018-11-02,bg
9,ZEZE (feat. Travis Scott & Offset),Kodak Black,1772,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA,2018-11-02,bg
10,In My Mind,Dynoro,1568,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2018-11-02,bg
11,MIA (feat. Drake),Bad Bunny,1561,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2018-11-02,bg
12,Overdue (with Travis Scott),Metro Boomin,1559,https://open.spotify.com/track/2mYDDUkBcgFNBqkWctyyuc,2018-11-02,bg
13,10 Freaky Girls (with 21 Savage),Metro Boomin,1436,https://open.spotify.com/track/43lYaovU2FoeuBMNusVVVW,2018-11-02,bg
14,Lucky You (feat. Joyner Lucas),Eminem,1434,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0,2018-11-02,bg
15,Better Now,Post Malone,1430,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2018-11-02,bg
16,Let You Love Me,Rita Ora,1421,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS,2018-11-02,bg
17,Don't Come Out The House (with 21 Savage),Metro Boomin,1358,https://open.spotify.com/track/1m6lqaLvUTxPjOo98fJH8U,2018-11-02,bg
18,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1334,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8,2018-11-02,bg
