Position,Track Name,Artist,Streams,URL,Date,Region
Position,Track Name,Artist,Streams,URL,2018-11-01,ee
1,Shallow,Lady Gaga,3722,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2018-11-01,ee
2,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,3038,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2018-11-01,ee
3,Sweet but Psycho,Ava Max,2703,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2018-11-01,ee
4,öölaps!,Nublu,2644,https://open.spotify.com/track/70qZhu8T6VHpeugYFZCnVk,2018-11-01,ee
5,Falling Down - Bonus Track,Lil Peep,2332,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q,2018-11-01,ee
6,when the party's over,Billie Eilish,2307,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2018-11-01,ee
7,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2303,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2018-11-01,ee
8,Let You Love Me,Rita Ora,2286,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS,2018-11-01,ee
9,Promises (with Sam Smith),Calvin Harris,2278,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2018-11-01,ee
10,Without Me,Halsey,2260,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2018-11-01,ee
11,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2210,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8,2018-11-01,ee
12,Mina Ka,Nublu,2186,https://open.spotify.com/track/4WTIwGBQobHLNo320RhOWW,2018-11-01,ee
13,Be Alright,Dean Lewis,2089,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2018-11-01,ee
14,In My Mind,Dynoro,2041,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2018-11-01,ee
15,Better,Khalid,2039,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2018-11-01,ee
16,Happier,Marshmello,1956,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2018-11-01,ee
17,Always Remember Us This Way,Lady Gaga,1938,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,2018-11-01,ee
18,Eastside (with Halsey & Khalid),benny blanco,1846,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao,2018-11-01,ee
19,Kiss and Make Up,Dua Lipa,1824,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2018-11-01,ee
20,Lucid Dreams,Juice WRLD,1771,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf,2018-11-01,ee
21,ZEZE (feat. Travis Scott & Offset),Kodak Black,1700,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA,2018-11-01,ee
22,I Love It (& Lil Pump),Kanye West,1655,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,2018-11-01,ee
23,Better Now,Post Malone,1640,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2018-11-01,ee
24,Keeruta (feat. Nublu),Lenna,1545,https://open.spotify.com/track/0t6ICmpxvI1hYiYENlx3Y3,2018-11-01,ee
25,MIA (feat. Drake),Bad Bunny,1501,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2018-11-01,ee
26,SICKO MODE,Travis Scott,1459,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2018-11-01,ee
27,SAD!,XXXTENTACION,1453,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2018-11-01,ee
28,Diamond Heart,Alan Walker,1451,https://open.spotify.com/track/4J4zx8xGJpuGndrVc06KaT,2018-11-01,ee
29,2 Quick Start,Nublu,1448,https://open.spotify.com/track/60mPI11SKSZFlLKzt3KXv5,2018-11-01,ee
30,Moonlight,XXXTENTACION,1387,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2018-11-01,ee
31,Nevermind,Dennis Lloyd,1366,https://open.spotify.com/track/63SevszngYpZOwf63o61K4,2018-11-01,ee
32,Mo Bamba,Sheck Wes,1360,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2018-11-01,ee
33,I Got Love,MiyaGi & Endspiel,1352,https://open.spotify.com/track/5rwsJbBNa8SfPW4oFA1GjP,2018-11-01,ee
34,Suncity (feat. Empress Of),Khalid,1342,https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN,2018-11-01,ee
35,Youngblood,5 Seconds of Summer,1333,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2018-11-01,ee
36,Body (feat. Brando),Loud Luxury,1287,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2018-11-01,ee
