"","Position","Track.Name","Artist","Streams","URL","Date","Region","track_id","artist_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","uri","analysis_url"
"2","1","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake","5766438","https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM","2018-11-01","global","4w8niZpiMy6qz1mntFA5uM","540vIaP2JwjQb9dm3aArA4;0C8ZW7ezQVs4URX5aX7Kqx;1i8SpTcr7yvPOmcqrbnVXY;4kYSro6naA4h99UJvo89HB",0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500,4,"spotify:track:4w8niZpiMy6qz1mntFA5uM","https://api.spotify.com/v1/audio-analysis/4w8niZpiMy6qz1mntFA5uM"
"3","2","MIA (feat. Drake)","Bad Bunny","4122032","https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO","2018-11-01","global","116H0KvKr2Zl4RPuVBruDO","4q3ewBCX7sLwd24euuV69X;3TVXtAsR1Inumwj472S9r4",0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368,4,"spotify:track:116H0KvKr2Zl4RPuVBruDO","https://api.spotify.com/v1/audio-analysis/116H0KvKr2Zl4RPuVBruDO"
"4","3","Happier","Marshmello","3546770","https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99","2018-11-01","global","2dpaYNEQHiRxtZbfNsse99","64KEffDW9EtZ1y2vBYgq8T;7EQ0qTo7fWT7DPxmxtSYEc",0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214290,4,"spotify:track:2dpaYNEQHiRxtZbfNsse99","https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99"
"5","4","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","3436862","https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8","2018-11-01","global","1A6OTy97kk0mMdm78rHsm8","246dkjvS1zLTtiykXe5h60;1zNqQNIdeOUZHb8zbZRFMX",0.753,0.498,2,-5.61,1,0.0504,0.551,0,0.0706,0.927,89.95,158053,4,"spotify:track:1A6OTy97kk0mMdm78rHsm8","https://api.spotify.com/v1/audio-analysis/1A6OTy97kk0mMdm78rHsm8"
"6","5","Arms Around You (feat. Maluma & Swae Lee)","XXXTENTACION","3286601","https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh","2018-11-01","global","2LskIZrCeLxRvCiGP8gxlh","15UsOTVnJzReFVN1VCnxy4;3wyVrVrFCkukjdVIdirGVY;1zNqQNIdeOUZHb8zbZRFMX;1r4hJ1h58CWwUQe3MxPuau",0.703,0.723,9,-5.45,0,0.0412,0.0302,2.06e-06,0.126,0.288,104.969,198903,4,"spotify:track:2LskIZrCeLxRvCiGP8gxlh","https://api.spotify.com/v1/audio-analysis/2LskIZrCeLxRvCiGP8gxlh"
"7","6","Shallow","Lady Gaga","3238783","https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B","2018-11-01","global","2VxeLyX666F8uXCJ0dZF8B","1HY2Jd0NmPuamShAr6KMms;4VIvfOurcf0vuLRxLkGnIG",0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,215733,4,"spotify:track:2VxeLyX666F8uXCJ0dZF8B","https://api.spotify.com/v1/audio-analysis/2VxeLyX666F8uXCJ0dZF8B"
"8","7","ZEZE (feat. Travis Scott & Offset)","Kodak Black","3034135","https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA","2018-11-01","global","7l3E7lcozEodtVsSTCkcaA","46SHBwWsqBkxI7EeeBEQG7;4DdkRBBYG6Yk9Ka8tdJ9BW;0Y5tJX1MQlPlqiwlOH1tJY",0.861,0.637,8,-5.692,0,0.24,0.0515,3.35e-06,0.0967,0.474,98.044,228654,4,"spotify:track:7l3E7lcozEodtVsSTCkcaA","https://api.spotify.com/v1/audio-analysis/7l3E7lcozEodtVsSTCkcaA"
"9","8","Without Me","Halsey","2987187","https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C","2018-11-01","global","5p7ujcrUXASCNwRaWNHR1C","26VFTg2z8YR0cCuwLzESi2",0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,4,"spotify:track:5p7ujcrUXASCNwRaWNHR1C","https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C"
"10","9","SICKO MODE","Travis Scott","2818819","https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h","2018-11-01","global","2xLMifQCjDGFmkHkpNLD9h","0Y5tJX1MQlPlqiwlOH1tJY",0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,4,"spotify:track:2xLMifQCjDGFmkHkpNLD9h","https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h"
"11","10","Better","Khalid","2510983","https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ","2018-11-01","global","6zeeWid2sgw4lap2jV61PZ","6LuN9FCkKOj5PcnpouEgny",0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,229320,4,"spotify:track:6zeeWid2sgw4lap2jV61PZ","https://api.spotify.com/v1/audio-analysis/6zeeWid2sgw4lap2jV61PZ"
"12","11","Mo Bamba","Sheck Wes","2401566","https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr","2018-11-01","global","1xzBco0xcoJEDXktl7Jxrr","2RDOrhPqAM4jzTRCEb19qX",0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,183907,4,"spotify:track:1xzBco0xcoJEDXktl7Jxrr","https://api.spotify.com/v1/audio-analysis/1xzBco0xcoJEDXktl7Jxrr"
"13","12","Promises (with Sam Smith)","Calvin Harris","2220766","https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg","2018-11-01","global","5N5k9nd479b1xpDZ4usjrg","7CajNmpbOovFoOoasH2HaY;2wY79sveU1sp5g7SokKOiI;3KedxarmBCyFBevnqQHy3P",0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,213309,4,"spotify:track:5N5k9nd479b1xpDZ4usjrg","https://api.spotify.com/v1/audio-analysis/5N5k9nd479b1xpDZ4usjrg"
"14","13","Eastside (with Halsey & Khalid)","benny blanco","2200415","https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao","2018-11-01","global","0d2iYfpKoM0QCKvcLCkBao","5CiGnKThu5ctn9pBxv7DGa;26VFTg2z8YR0cCuwLzESi2;6LuN9FCkKOj5PcnpouEgny",0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,173800,4,"spotify:track:0d2iYfpKoM0QCKvcLCkBao","https://api.spotify.com/v1/audio-analysis/0d2iYfpKoM0QCKvcLCkBao"
"15","14","Girls Like You (feat. Cardi B)","Maroon 5","2194245","https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8","2018-11-01","global","7fa9MBXhVfQ8P8Df9OEbD8","04gDigrS5kc9YWfZHwBETP;4kYSro6naA4h99UJvo89HB",0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,235545,4,"spotify:track:7fa9MBXhVfQ8P8Df9OEbD8","https://api.spotify.com/v1/audio-analysis/7fa9MBXhVfQ8P8Df9OEbD8"
"16","15","when the party's over","Billie Eilish","2175327","https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI","2018-11-01","global","14JzyD6FlBD5z0wV5P07YI","6qqNVTkY8uBg9cP3Jd7DAH",0.498,0.104,1,-14.08,0,0.0621,0.979,7.86e-05,0.0895,0.205,124.001,199931,3,"spotify:track:14JzyD6FlBD5z0wV5P07YI","https://api.spotify.com/v1/audio-analysis/14JzyD6FlBD5z0wV5P07YI"
"17","16","In My Mind","Dynoro","2128272","https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33","2018-11-01","global","0E9ZjEAyAwOXZ7wJC0PD33","3v6Ji4uoWtKRkhuDUaxi9n;1OAjDaKgg00KCUYqDe68un",0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,184560,4,"spotify:track:0E9ZjEAyAwOXZ7wJC0PD33","https://api.spotify.com/v1/audio-analysis/0E9ZjEAyAwOXZ7wJC0PD33"
"18","17","Lucid Dreams","Juice WRLD","2056067","https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf","2018-11-01","global","0s3nnoMeVWz3989MkNQiRf","4MCBfE4596Uoi2O4DtmEMz",0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,239836,4,"spotify:track:0s3nnoMeVWz3989MkNQiRf","https://api.spotify.com/v1/audio-analysis/0s3nnoMeVWz3989MkNQiRf"
"19","18","Be Alright","Dean Lewis","2021732","https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm","2018-11-01","global","3EPXxR3ImUwfayaurPi3cm","3QSQFmccmX81fWCUSPTS7y",0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,196373,4,"spotify:track:3EPXxR3ImUwfayaurPi3cm","https://api.spotify.com/v1/audio-analysis/3EPXxR3ImUwfayaurPi3cm"
"20","19","Kiss and Make Up","Dua Lipa","1983913","https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3","2018-11-01","global","13hvHEstJ4sNbzdroPrPI3","6M2wZ9GZgrQXHCFfjv46we;41MozSoPIsD1dJM0CLPjZF",0.675,0.729,8,-4.383,1,0.146,0.0557,0,0.189,0.63,99.986,190560,4,"spotify:track:13hvHEstJ4sNbzdroPrPI3","https://api.spotify.com/v1/audio-analysis/13hvHEstJ4sNbzdroPrPI3"
"21","20","Drip Too Hard (Lil Baby & Gunna)","Lil Baby","1978075","https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE","2018-11-01","global","78QR3Wp35dqAhFEc2qAGjE","5f7VJjfbwm532GiveGC0ZK;2hlmm7s2ICUX0LVIhVFlZQ",0.897,0.662,1,-6.903,0,0.292,0.0852,0,0.534,0.389,112.511,145543,4,"spotify:track:78QR3Wp35dqAhFEc2qAGjE","https://api.spotify.com/v1/audio-analysis/78QR3Wp35dqAhFEc2qAGjE"
"22","21","I Love It (& Lil Pump)","Kanye West","1945829","https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ","2018-11-01","global","4S8d14HvHb70ImctNgVzQQ","5K4W6rqBFWDnAN6FQUkS6x;3wyVrVrFCkukjdVIdirGVY",0.901,0.522,2,-8.304,1,0.33,0.0114,0,0.259,0.329,104.053,127947,4,"spotify:track:4S8d14HvHb70ImctNgVzQQ","https://api.spotify.com/v1/audio-analysis/4S8d14HvHb70ImctNgVzQQ"
"23","22","Falling Down - Bonus Track","Lil Peep","1929647","https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q","2018-11-01","global","0Dn40gxVCMo5TkgS8Ik18Q","2kCcBybjl3SAtIcwdWpUe3;15UsOTVnJzReFVN1VCnxy4",0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,196400,4,"spotify:track:0Dn40gxVCMo5TkgS8Ik18Q","https://api.spotify.com/v1/audio-analysis/0Dn40gxVCMo5TkgS8Ik18Q"
"24","23","SAD!","XXXTENTACION","1895700","https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2","2018-11-01","global","3ee8Jmje8o58CHK66QrVC2","15UsOTVnJzReFVN1VCnxy4",0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606,4,"spotify:track:3ee8Jmje8o58CHK66QrVC2","https://api.spotify.com/v1/audio-analysis/3ee8Jmje8o58CHK66QrVC2"
"25","24","Woman Like Me (feat. Nicki Minaj)","Little Mix","1867426","https://open.spotify.com/track/6rrTr2HEAzlpC4KWZxF3S1","2018-11-01","global","6rrTr2HEAzlpC4KWZxF3S1","3e7awlrlDSwF3iM0WBjGMp;0hCNtLu0JehylgoiP8L4Gh",0.757,0.849,5,-3.424,0,0.0536,0.173,0,0.0878,0.826,150.036,228207,4,"spotify:track:6rrTr2HEAzlpC4KWZxF3S1","https://api.spotify.com/v1/audio-analysis/6rrTr2HEAzlpC4KWZxF3S1"
"26","25","Better Now","Post Malone","1820137","https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK","2018-11-01","global","7dt6x5M1jzdTEt8oCbisTK","246dkjvS1zLTtiykXe5h60",0.68,0.563,10,-5.843,1,0.0454,0.354,0,0.136,0.374,145.028,231267,4,"spotify:track:7dt6x5M1jzdTEt8oCbisTK","https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK"
"27","26","In My Feelings","Drake","1818113","https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ","2018-11-01","global","2G7V7zsVDxg1yRsu7Ew9RJ","3TVXtAsR1Inumwj472S9r4",0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,217925,4,"spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ","https://api.spotify.com/v1/audio-analysis/2G7V7zsVDxg1yRsu7Ew9RJ"
"28","27","Moonlight","XXXTENTACION","1752299","https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL","2018-11-01","global","0JP9xo3adEtGSdUEISiszL","15UsOTVnJzReFVN1VCnxy4",0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090,4,"spotify:track:0JP9xo3adEtGSdUEISiszL","https://api.spotify.com/v1/audio-analysis/0JP9xo3adEtGSdUEISiszL"
"29","28","Vaina Loca","Ozuna","1729033","https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA","2018-11-01","global","48zFZh27QU5qsrBjn4C2FA","1i8SpTcr7yvPOmcqrbnVXY;0tmwSHipWxN12fsoLcFU3B",0.754,0.805,6,-4.249,1,0.0752,0.315,0,0.203,0.555,93.983,176133,4,"spotify:track:48zFZh27QU5qsrBjn4C2FA","https://api.spotify.com/v1/audio-analysis/48zFZh27QU5qsrBjn4C2FA"
"30","29","Sweet but Psycho","Ava Max","1711909","https://open.spotify.com/track/25sgk305KZfyuqVBQIahim","2018-11-01","global","25sgk305KZfyuqVBQIahim","4npEfmQ6YuiwW1GpUmaq3F",0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,187436,4,"spotify:track:25sgk305KZfyuqVBQIahim","https://api.spotify.com/v1/audio-analysis/25sgk305KZfyuqVBQIahim"
"31","30","Let You Love Me","Rita Ora","1710482","https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS","2018-11-01","global","6xtcFXSo8H9BZN637BMVKS","5CCwRZC6euC8Odo6y9X8jr",0.531,0.854,10,-3.149,1,0.198,0.288,0,0.0773,0.456,94.419,190000,4,"spotify:track:6xtcFXSo8H9BZN637BMVKS","https://api.spotify.com/v1/audio-analysis/6xtcFXSo8H9BZN637BMVKS"
"32","31","BEBE","6ix9ine","1666976","https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C","2018-11-01","global","7ATATJztoWLcqDAcVVof0C","7gZfnEnfiaHzxARJ2LeXrf;2R21vXR83lH98kGeO99Y66",0.635,0.902,0,-3.559,1,0.109,0.172,0,0.125,0.286,102.063,217822,4,"spotify:track:7ATATJztoWLcqDAcVVof0C","https://api.spotify.com/v1/audio-analysis/7ATATJztoWLcqDAcVVof0C"
