Position,Track Name,Artist,Streams,URL,Date,Region
Position,Track Name,Artist,Streams,URL,2018-11-01,hn
1,MIA (feat. Drake),Bad Bunny,12621,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2018-11-01,hn
2,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,10865,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2018-11-01,hn
3,Quiere Beber,Anuel AA,7432,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z,2018-11-01,hn
4,Toda - Remix,Alex Rose,5910,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL,2018-11-01,hn
5,BEBE,6ix9ine,5818,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C,2018-11-01,hn
6,Vaina Loca,Ozuna,5808,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2018-11-01,hn
7,Culpables,KAROL G,5591,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH,2018-11-01,hn
8,Mocca,Lalo Ebratt,5123,https://open.spotify.com/track/0NKoPGc72yUKTIneVhFfg1,2018-11-01,hn
9,No Es Justo,J Balvin,4719,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,2018-11-01,hn
10,Asesina,Brytiago,4425,https://open.spotify.com/track/56CvVCJYRQNWwM4vF4neCD,2018-11-01,hn
11,Ni Gucci Ni Prada,Kenny Man,4391,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ,2018-11-01,hn
12,Cuando Te Besé,Becky G,4365,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2018-11-01,hn
13,Asesina - Remix,Brytiago,4302,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX,2018-11-01,hn
14,Te Boté - Remix,Nio Garcia,4238,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,2018-11-01,hn
15,Hipócrita,Anuel AA,4226,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw,2018-11-01,hn
16,Mala Mía,Maluma,4169,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh,2018-11-01,hn
17,Estamos Bien,Bad Bunny,3570,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn,2018-11-01,hn
18,Amigos Con Derechos,Reik,3552,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA,2018-11-01,hn
19,La player (Bandolera),Zion & Lennox,3393,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP,2018-11-01,hn
20,Ya No Tiene Novio,Sebastian Yatra,3370,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,2018-11-01,hn
21,Mocca - Remix,Lalo Ebratt,3199,https://open.spotify.com/track/1usoXi4f0BnMART4uActEA,2018-11-01,hn
22,Está Rico,Marc Anthony,3143,https://open.spotify.com/track/2wRkBumdItthjYP9XknImg,2018-11-01,hn
23,Calma - Remix,Pedro Capó,3068,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2018-11-01,hn
24,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,3024,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2018-11-01,hn
25,I Like It,Cardi B,2970,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2018-11-01,hn
26,Sin Pijama,Becky G,2907,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww,2018-11-01,hn
27,Girls Like You (feat. Cardi B),Maroon 5,2830,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2018-11-01,hn
28,Ibiza,Ozuna,2803,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp,2018-11-01,hn
29,Imposible,Luis Fonsi,2740,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,2018-11-01,hn
30,Por Perro,Sebastian Yatra,2702,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ,2018-11-01,hn
31,Subete,Lary Over,2673,https://open.spotify.com/track/6CWMm2mJOrKyDH4W1X5d06,2018-11-01,hn
32,Brindemos,Anuel AA,2658,https://open.spotify.com/track/7LeQ55Z5jPBB0ggYJtAiYO,2018-11-01,hn
33,PPP,Kevin Roldan,2625,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS,2018-11-01,hn
34,Coolant,Farruko,2609,https://open.spotify.com/track/2fHOqQ9K6eY0wsbVZiYZPw,2018-11-01,hn
35,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,2564,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x,2018-11-01,hn
36,Hookah & Sheridan s,Tommy Boysen,2542,https://open.spotify.com/track/3QfD4bxxkopZL7XZ8RaezH,2018-11-01,hn
37,Happier,Marshmello,2526,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2018-11-01,hn
38,Desconocidos,Mau y Ricky,2425,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2018-11-01,hn
39,Madura (feat. Bad Bunny),Cosculluela,2398,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN,2018-11-01,hn
40,No Me Acuerdo,Thalía,2282,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd,2018-11-01,hn
41,Epa Wei,Danny Ocean,2253,https://open.spotify.com/track/2QmsKag0YaqhAbpR9Nwmpn,2018-11-01,hn
42,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2156,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8,2018-11-01,hn
43,Tanta Falta,Bryant Myers,2109,https://open.spotify.com/track/0sPTfDSZgE3KvcvqaKPtEx,2018-11-01,hn
44,¿Cual es tu plan?,Bad Bunny,2084,https://open.spotify.com/track/4HRDBtek0ayfLQ6uc7rjO9,2018-11-01,hn
45,In My Feelings,Drake,2081,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2018-11-01,hn
46,One Kiss (with Dua Lipa),Calvin Harris,2066,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,2018-11-01,hn
47,Culpables,Manuel Turizo,2064,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn,2018-11-01,hn
48,Loca Remix,Khea,1962,https://open.spotify.com/track/2CRbiMK0W14l71SpDKqKZM,2018-11-01,hn
49,Clandestino,Shakira,1955,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf,2018-11-01,hn
50,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,1917,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G,2018-11-01,hn
51,Bohemian Rhapsody - Remastered 2011,Queen,1877,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2018-11-01,hn
52,Shallow,Lady Gaga,1814,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2018-11-01,hn
53,Triste,Bryant Myers,1716,https://open.spotify.com/track/5MNS5FF4LrTX0jIaI0gory,2018-11-01,hn
54,X - Remix,Nicky Jam,1683,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw,2018-11-01,hn
55,Electricity (with Dua Lipa),Silk City,1632,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk,2018-11-01,hn
56,Unica,Ozuna,1612,https://open.spotify.com/track/33b2wX9d0kxqxhi7lcsC1A,2018-11-01,hn
57,Me Niego (feat. Ozuna & Wisin),Reik,1604,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T,2018-11-01,hn
58,Celoso,Lele Pons,1589,https://open.spotify.com/track/33zcmmElV1YbRZe57biUjg,2018-11-01,hn
59,Me Rehúso,Danny Ocean,1583,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2018-11-01,hn
60,Dura - Remix,Daddy Yankee,1561,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb,2018-11-01,hn
61,SICKO MODE,Travis Scott,1560,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2018-11-01,hn
62,Zum Zum,Daddy Yankee,1551,https://open.spotify.com/track/7lEhOiFtcLXY4P7cuTKuQ8,2018-11-01,hn
63,IDGAF,Dua Lipa,1551,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,2018-11-01,hn
64,Promises (with Sam Smith),Calvin Harris,1542,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2018-11-01,hn
65,El Color de Tus Ojos,Banda Sinaloense MS de Sergio Lizárraga,1527,https://open.spotify.com/track/1l77YWrGUp3qX3NS1rz7lq,2018-11-01,hn
66,Te Amo,Piso 21,1511,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH,2018-11-01,hn
67,New Rules,Dua Lipa,1475,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O,2018-11-01,hn
68,Solita,Ozuna,1462,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E,2018-11-01,hn
69,rockstar (feat. 21 Savage),Post Malone,1434,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2018-11-01,hn
70,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,1411,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65,2018-11-01,hn
71,Justicia,Silvestre Dangond,1406,https://open.spotify.com/track/6ipp8Dhs33KinlF4BStgca,2018-11-01,hn
72,Mi Cama - Remix,KAROL G,1405,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE,2018-11-01,hn
73,Mejor Me Alejo,Banda Sinaloense MS de Sergio Lizárraga,1399,https://open.spotify.com/track/5OUGSwa2eadrcAsMdUItmO,2018-11-01,hn
