Position,Track Name,Artist,Streams,URL,Date,Region
Position,Track Name,Artist,Streams,URL,2019-03-05,in
1,Sucker,Jonas Brothers,71405,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO,2019-03-05,in
2,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",benny blanco,44980,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt,2019-03-05,in
3,7 rings,Ariana Grande,32637,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019-03-05,in
4,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,32117,https://open.spotify.com/track/7dbka99KTWke5o9hRp0JoB,2019-03-05,in
5,"break up with your girlfriend, i'm bored",Ariana Grande,30742,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,2019-03-05,in
6,Shallow,Lady Gaga,29330,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-03-05,in
7,i'm so tired...,Lauv,29128,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,2019-03-05,in
8,"Duniyaa (From ""Luka Chuppi"")",Akhil,28905,https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI,2019-03-05,in
9,Apna Time Aayega,Ranveer Singh,23805,https://open.spotify.com/track/5uaIbU3oHHcSOK6WFNK5nj,2019-03-05,in
10,Wow.,Post Malone,22997,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-03-05,in
11,Dancing With A Stranger (with Normani),Sam Smith,22703,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019-03-05,in
12,Talk,Khalid,21441,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM,2019-03-05,in
13,Without Me,Halsey,21226,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-03-05,in
14,Don't Call Me Up,Mabel,20429,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,2019-03-05,in
15,Con Calma,Daddy Yankee,19536,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2019-03-05,in
16,Happier,Marshmello,18739,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-03-05,in
17,Who Do You Love,The Chainsmokers,17964,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8,2019-03-05,in
18,"Aankh Marey (From ""Simmba"")",Neha Kakkar,17683,https://open.spotify.com/track/790uNrqzKWCvj8rR1QXNpU,2019-03-05,in
19,"Coca Cola (From ""Luka Chuppi"")",Tony Kakkar,17193,https://open.spotify.com/track/4bKkdGBttnK4SYjT4zPC1U,2019-03-05,in
20,bury a friend,Billie Eilish,16839,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP,2019-03-05,in
21,BIBA,Marshmello,16385,https://open.spotify.com/track/0GVBPuCT3pBrXCdY3Uiy5B,2019-03-05,in
22,Lamberghini,The Doorbeen,16070,https://open.spotify.com/track/45P9g6kUb7itdonjjGjDdS,2019-03-05,in
23,wish you were gay,Billie Eilish,15914,https://open.spotify.com/track/4txc3txsIt81diMzGhrVPS,2019-03-05,in
24,She Move It Like,Badshah,15679,https://open.spotify.com/track/39vrbjCMTRXEdiIr2IsBgd,2019-03-05,in
25,Sakhiyaan,Maninder Buttar,15146,https://open.spotify.com/track/3sqRODOZ1Z6hR4F2tnFAlg,2019-03-05,in
26,Proper Patola,Badshah,14739,https://open.spotify.com/track/39ujbBjTwwqUFySaCYDMMT,2019-03-05,in
27,Eastside (with Halsey & Khalid),benny blanco,14316,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019-03-05,in
28,Azadi,Dub Sharma,13601,https://open.spotify.com/track/07qSl2sNpFNILaYyZ6yIS9,2019-03-05,in
