Position,Track Name,Artist,Streams,URL,Date,Region
Position,Track Name,Artist,Streams,URL,2018-12-24,lu
1,All I Want for Christmas Is You,Mariah Carey,8384,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,2018-12-24,lu
2,Last Christmas,Wham!,7802,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,2018-12-24,lu
3,Jingle Bell Rock,Bobby Helms,6496,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya,2018-12-24,lu
4,It's Beginning to Look a Lot like Christmas,Michael Bublé,6343,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI,2018-12-24,lu
5,Rockin' Around The Christmas Tree,Brenda Lee,6072,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97,2018-12-24,lu
6,It's the Most Wonderful Time of the Year,Andy Williams,6034,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN,2018-12-24,lu
7,Santa Tell Me,Ariana Grande,5872,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb,2018-12-24,lu
8,Do They Know It's Christmas? - 1984 Version,Band Aid,5486,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf,2018-12-24,lu
9,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney,5030,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD,2018-12-24,lu
10,Happy Xmas (War Is Over) - Remastered,John Lennon,4668,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy,2018-12-24,lu
11,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,4549,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM,2018-12-24,lu
12,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,4248,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg,2018-12-24,lu
13,White Christmas,Bing Crosby,4193,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW,2018-12-24,lu
14,Feliz Navidad,José Feliciano,4034,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS,2018-12-24,lu
15,Underneath the Tree,Kelly Clarkson,3950,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5,2018-12-24,lu
16,Mistletoe,Justin Bieber,3936,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA,2018-12-24,lu
17,Sleigh Ride,The Ronettes,3934,https://open.spotify.com/track/5ASM6Qjiav2xPe7gRkQMsQ,2018-12-24,lu
18,Have Yourself A Merry Little Christmas,Sam Smith,3888,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K,2018-12-24,lu
19,"Baby, It's Cold Outside",Brett Eldredge,3849,https://open.spotify.com/track/5Q2P43CJra0uRAogjHyJDK,2018-12-24,lu
20,Santa Claus Is Coming to Town,Michael Bublé,3829,https://open.spotify.com/track/5Ber68jZ7ytegr2UISEdb7,2018-12-24,lu
21,The Christmas Song (Merry Christmas To You),Nat King Cole,3787,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON,2018-12-24,lu
22,Driving Home for Christmas,Chris Rea,3786,https://open.spotify.com/track/3Z3QhZAZpqwZa1phsbQ3JZ,2018-12-24,lu
23,Holly Jolly Christmas,Michael Bublé,3742,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE,2018-12-24,lu
24,A Holly Jolly Christmas - Single Version,Burl Ives,3737,https://open.spotify.com/track/65Q2mv3UlVi9eO70OpsmSe,2018-12-24,lu
25,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,3676,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa,2018-12-24,lu
