Position,Track Name,Artist,Streams,URL,Date,Region
Position,Track Name,Artist,Streams,URL,2018-11-01,lv
1,Falling Down - Bonus Track,Lil Peep,3655,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q,2018-11-01,lv
2,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,3054,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2018-11-01,lv
3,Shallow,Lady Gaga,2848,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2018-11-01,lv
4,Zemes stunda,ansis,2650,https://open.spotify.com/track/7MSS9mAqAHHkUCa7HL0RbA,2018-11-01,lv
5,In My Mind,Dynoro,2564,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2018-11-01,lv
6,ZEZE (feat. Travis Scott & Offset),Kodak Black,2526,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA,2018-11-01,lv
7,Happier,Marshmello,2512,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2018-11-01,lv
8,Promises (with Sam Smith),Calvin Harris,2478,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2018-11-01,lv
9,when the party's over,Billie Eilish,2468,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2018-11-01,lv
10,Without Me,Halsey,2344,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2018-11-01,lv
11,Better,Khalid,2172,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2018-11-01,lv
12,Mo Bamba,Sheck Wes,2172,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2018-11-01,lv
13,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2145,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8,2018-11-01,lv
14,Let You Love Me,Rita Ora,2120,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS,2018-11-01,lv
