Position,Track Name,Artist,Streams,URL,Date,Region
Position,Track Name,Artist,Streams,URL,2018-11-02,mt
1,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,4644,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2018-11-02,mt
2,MIA (feat. Drake),Bad Bunny,3703,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2018-11-02,mt
3,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,2526,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2018-11-02,mt
4,Happier,Marshmello,2254,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2018-11-02,mt
5,Without Me,Halsey,2171,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2018-11-02,mt
6,Let You Love Me,Rita Ora,2138,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS,2018-11-02,mt
7,Asesina - Remix,Brytiago,1964,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX,2018-11-02,mt
8,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1961,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8,2018-11-02,mt
9,BEBE,6ix9ine,1881,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C,2018-11-02,mt
10,Shallow,Lady Gaga,1851,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2018-11-02,mt
11,Better,Khalid,1799,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2018-11-02,mt
12,Promises (with Sam Smith),Calvin Harris,1755,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2018-11-02,mt
13,Quiere Beber,Anuel AA,1729,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z,2018-11-02,mt
14,Woman Like Me (feat. Nicki Minaj),Little Mix,1695,https://open.spotify.com/track/6rrTr2HEAzlpC4KWZxF3S1,2018-11-02,mt
15,Culpables,KAROL G,1639,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH,2018-11-02,mt
16,Vaina Loca,Ozuna,1590,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2018-11-02,mt
17,Bohemian Rhapsody - Remastered 2011,Queen,1555,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2018-11-02,mt
18,Kiss and Make Up,Dua Lipa,1543,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2018-11-02,mt
19,ZEZE (feat. Travis Scott & Offset),Kodak Black,1541,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA,2018-11-02,mt
20,Cuando Te Besé,Becky G,1535,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2018-11-02,mt
21,Sweet but Psycho,Ava Max,1464,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2018-11-02,mt
22,Ella Quiere Beber - Remix,Anuel AA,1393,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2018-11-02,mt
23,SICKO MODE,Travis Scott,1370,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2018-11-02,mt
24,Te Boté - Remix,Nio Garcia,1352,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,2018-11-02,mt
25,I Love It (& Lil Pump),Kanye West,1347,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,2018-11-02,mt
26,Hipócrita,Anuel AA,1337,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw,2018-11-02,mt
27,Eastside (with Halsey & Khalid),benny blanco,1325,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao,2018-11-02,mt
28,Falling Down - Bonus Track,Lil Peep,1320,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q,2018-11-02,mt
29,when the party's over,Billie Eilish,1307,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2018-11-02,mt
30,Imposible,Luis Fonsi,1300,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,2018-11-02,mt
31,Tanta Falta,Bryant Myers,1298,https://open.spotify.com/track/0sPTfDSZgE3KvcvqaKPtEx,2018-11-02,mt
32,Be Alright,Dean Lewis,1253,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2018-11-02,mt
33,Toda - Remix,Alex Rose,1180,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL,2018-11-02,mt
34,Electricity (with Dua Lipa),Silk City,1153,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk,2018-11-02,mt
35,Girls Like You (feat. Cardi B),Maroon 5,1151,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2018-11-02,mt
36,Youngblood,5 Seconds of Summer,1122,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2018-11-02,mt
37,Baby (feat. MARINA & Luis Fonsi),Clean Bandit,1095,https://open.spotify.com/track/1fLhGF1JfGQYj6EZLndD86,2018-11-02,mt
38,Body (feat. Brando),Loud Luxury,1094,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2018-11-02,mt
39,I Found You (with Calvin Harris),benny blanco,1089,https://open.spotify.com/track/5sdb5pMhcK44SSLsj1moUh,2018-11-02,mt
40,Not Steady,Paloma Mami,1083,https://open.spotify.com/track/42ArfZUgGo3k5btIHp08it,2018-11-02,mt
41,Better Now,Post Malone,1077,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2018-11-02,mt
42,I Like It,Cardi B,1065,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2018-11-02,mt
43,Suncity (feat. Empress Of),Khalid,1064,https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN,2018-11-02,mt
44,Another One Bites The Dust - Remastered 2011,Queen,1060,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,2018-11-02,mt
45,Ruin My Life,Zara Larsson,1043,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,2018-11-02,mt
46,Lucid Dreams,Juice WRLD,1030,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf,2018-11-02,mt
47,Beautiful (feat. Camila Cabello),Bazzi,1023,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2018-11-02,mt
48,PPP,Kevin Roldan,1023,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS,2018-11-02,mt
