Position,Track Name,Artist,Streams,URL,Date,Region
Position,Track Name,Artist,Streams,URL,2018-12-24,ni
1,MIA (feat. Drake),Bad Bunny,4428,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2018-12-24,ni
2,Solo de Mi,Bad Bunny,3705,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2018-12-24,ni
3,Calma - Remix,Pedro Capó,3666,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2018-12-24,ni
4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,3381,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2018-12-24,ni
5,NI BIEN NI MAL,Bad Bunny,3300,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8,2018-12-24,ni
6,Si Estuviésemos Juntos,Bad Bunny,2798,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI,2018-12-24,ni
7,Adan y Eva,Paulo Londra,2602,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2018-12-24,ni
8,Ella Quiere Beber - Remix,Anuel AA,2591,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2018-12-24,ni
9,Otra Noche en Miami,Bad Bunny,2422,https://open.spotify.com/track/4vCAzANUWDE24URV6wQ4ra,2018-12-24,ni
10,Ni Gucci Ni Prada,Kenny Man,2399,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ,2018-12-24,ni
11,200 Mph,Bad Bunny,2382,https://open.spotify.com/track/5jGUJXnELDaDTgiRjD9lsg,2018-12-24,ni
12,Caro,Bad Bunny,2372,https://open.spotify.com/track/6it15CsDlkqB7N4lF0C1qM,2018-12-24,ni
13,¿Quien Tu Eres?,Bad Bunny,2344,https://open.spotify.com/track/6kN06eEOblRAuWI0xUUS91,2018-12-24,ni
14,BEBE,6ix9ine,2326,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,2018-12-24,ni
15,Bubalu,Becky G,2318,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2018-12-24,ni
16,Vaina Loca,Ozuna,2306,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2018-12-24,ni
17,Estamos Bien,Bad Bunny,2159,https://open.spotify.com/track/2OWVCFTolecLiGZPquvWvT,2018-12-24,ni
18,Tenemos Que Hablar,Bad Bunny,1971,https://open.spotify.com/track/5VQpJ2AY2iMzrRZKgcvNjh,2018-12-24,ni
19,Culpables,KAROL G,1931,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH,2018-12-24,ni
20,Quiere Beber,Anuel AA,1920,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z,2018-12-24,ni
21,La Romana,Bad Bunny,1904,https://open.spotify.com/track/1khmgu0pveJbkbpbkyvcQv,2018-12-24,ni
22,Ser Bichote,Bad Bunny,1846,https://open.spotify.com/track/4UEuIEv9Wc3wtiWUplGJ7q,2018-12-24,ni
23,Cuando Perriabas,Bad Bunny,1767,https://open.spotify.com/track/5mj8WVFcKdGA8p9HWGTSLc,2018-12-24,ni
24,Como Antes,Bad Bunny,1736,https://open.spotify.com/track/69ZaPBHhRMRDjRpW1ivnOU,2018-12-24,ni
25,Feliz Navidad,José Feliciano,1730,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS,2018-12-24,ni
26,RLNDT,Bad Bunny,1711,https://open.spotify.com/track/6pZHZndlo57dPCYnvlYFOE,2018-12-24,ni
27,Adictiva,Daddy Yankee,1688,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2018-12-24,ni
28,"thank u, next",Ariana Grande,1652,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2018-12-24,ni
29,Cuando Te Besé,Becky G,1622,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2018-12-24,ni
30,Mocca,Lalo Ebratt,1583,https://open.spotify.com/track/0NKoPGc72yUKTIneVhFfg1,2018-12-24,ni
