Position,Track Name,Artist,Streams,URL,Date,Region
Position,Track Name,Artist,Streams,URL,2018-11-01,sk
1,Shallow,Lady Gaga,7125,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2018-11-01,sk
2,In My Mind,Dynoro,4480,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2018-11-01,sk
3,Naháňame šťastie,Nerieš,3808,https://open.spotify.com/track/6zgLem6JNcBrSfsSyOmc0O,2018-11-01,sk
4,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,3511,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2018-11-01,sk
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,3455,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2018-11-01,sk
6,Always Remember Us This Way,Lady Gaga,3331,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,2018-11-01,sk
7,Without Me,Halsey,3318,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2018-11-01,sk
8,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,3116,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8,2018-11-01,sk
9,Natural,Imagine Dragons,2946,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP,2018-11-01,sk
10,Happier,Marshmello,2935,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2018-11-01,sk
11,Promises (with Sam Smith),Calvin Harris,2674,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2018-11-01,sk
12,Let You Love Me,Rita Ora,2625,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS,2018-11-01,sk
13,Falling Down - Bonus Track,Lil Peep,2506,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q,2018-11-01,sk
14,Kiss and Make Up,Dua Lipa,2494,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2018-11-01,sk
15,Better,Khalid,2460,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2018-11-01,sk
16,Venom - Music From The Motion Picture,Eminem,2412,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4,2018-11-01,sk
17,when the party's over,Billie Eilish,2395,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2018-11-01,sk
18,Woman Like Me (feat. Nicki Minaj),Little Mix,2324,https://open.spotify.com/track/6rrTr2HEAzlpC4KWZxF3S1,2018-11-01,sk
19,Cesta,Lvcas Dope,2312,https://open.spotify.com/track/6xGfVuDStonGtWRxJI1xeY,2018-11-01,sk
20,Better Now,Post Malone,2267,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2018-11-01,sk
21,I Love It (& Lil Pump),Kanye West,2244,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,2018-11-01,sk
22,Motorest,Gleb,2157,https://open.spotify.com/track/1oOm7QaJ0JzJdf3DU7MrpI,2018-11-01,sk
23,ZEZE (feat. Travis Scott & Offset),Kodak Black,2068,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA,2018-11-01,sk
24,Eastside (with Halsey & Khalid),benny blanco,2048,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao,2018-11-01,sk
25,Royal,Separ,2029,https://open.spotify.com/track/7oVavZggN8EK3zxBBxpur8,2018-11-01,sk
26,MIA (feat. Drake),Bad Bunny,2020,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2018-11-01,sk
27,Be Alright,Dean Lewis,2015,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2018-11-01,sk
28,SICKO MODE,Travis Scott,1921,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2018-11-01,sk
29,Nevermind,Dennis Lloyd,1845,https://open.spotify.com/track/63SevszngYpZOwf63o61K4,2018-11-01,sk
30,Rise,Jonas Blue,1823,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3,2018-11-01,sk
31,Solo (feat. Demi Lovato),Clean Bandit,1742,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6,2018-11-01,sk
32,Sweet but Psycho,Ava Max,1721,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2018-11-01,sk
33,Ruin My Life,Zara Larsson,1691,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,2018-11-01,sk
34,Lucky You (feat. Joyner Lucas),Eminem,1688,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0,2018-11-01,sk
35,Blah Blah Blah,Armin van Buuren,1678,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj,2018-11-01,sk
36,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,1655,https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N,2018-11-01,sk
37,Girls Like You (feat. Cardi B),Maroon 5,1632,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2018-11-01,sk
38,Born To Be Yours,Kygo,1599,https://open.spotify.com/track/4M3FO0ji6Lc8vwD1sgf1nc,2018-11-01,sk
39,rockstar (feat. 21 Savage),Post Malone,1581,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2018-11-01,sk
40,Electricity (with Dua Lipa),Silk City,1545,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk,2018-11-01,sk
41,Believer,Imagine Dragons,1523,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2018-11-01,sk
42,Suncity (feat. Empress Of),Khalid,1510,https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN,2018-11-01,sk
43,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,1500,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2018-11-01,sk
44,SAD!,XXXTENTACION,1500,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2018-11-01,sk
45,I'll Never Love Again - Film Version - Radio Edit,Lady Gaga,1483,https://open.spotify.com/track/3DKpA54hrFIdPN6AtL9HXa,2018-11-01,sk
46,Bohemian Rhapsody - Remastered 2011,Queen,1463,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2018-11-01,sk
47,Thunder,Imagine Dragons,1444,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,2018-11-01,sk
48,Look What I Found,Lady Gaga,1426,https://open.spotify.com/track/1l9G7M8gNyQsgOGWZGoQsT,2018-11-01,sk
49,Beautiful (feat. Camila Cabello),Bazzi,1419,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2018-11-01,sk
50,Thunderclouds,Sia,1411,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi,2018-11-01,sk
51,FRIENDS,Marshmello,1392,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,2018-11-01,sk
52,Say My Name,David Guetta,1370,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,2018-11-01,sk
53,No Stylist,French Montana,1339,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A,2018-11-01,sk
54,Body (feat. Brando),Loud Luxury,1330,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2018-11-01,sk
55,Youngblood,5 Seconds of Summer,1323,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2018-11-01,sk
56,Moonlight,XXXTENTACION,1297,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2018-11-01,sk
57,2002,Anne-Marie,1270,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2018-11-01,sk
58,SilverBoys,KHANS,1269,https://open.spotify.com/track/0cIhUckStN4eUeiVE1O26k,2018-11-01,sk
59,Remind Me to Forget,Kygo,1262,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80,2018-11-01,sk
60,One Kiss (with Dua Lipa),Calvin Harris,1260,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,2018-11-01,sk
61,IDGAF,Dua Lipa,1260,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,2018-11-01,sk
62,Mo Bamba,Sheck Wes,1256,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2018-11-01,sk
63,There's No Way (feat. Julia Michaels),Lauv,1250,https://open.spotify.com/track/2hnxrRNzF74mdDzpQZQukQ,2018-11-01,sk
64,Machine,Imagine Dragons,1242,https://open.spotify.com/track/5ftQSVAHs7iqULWKQn0fjK,2018-11-01,sk
65,I Like It,Cardi B,1228,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2018-11-01,sk
66,Love Someone,Lukas Graham,1218,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2018-11-01,sk
67,Lucid Dreams,Juice WRLD,1213,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf,2018-11-01,sk
68,Audiokniha,Gleb,1193,https://open.spotify.com/track/6tgYoMQ6r45PiY3MoQ1MmP,2018-11-01,sk
69,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,1179,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB,2018-11-01,sk
70,I Like Me Better,Lauv,1170,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2018-11-01,sk
71,In My Feelings,Drake,1158,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2018-11-01,sk
72,Happy Now,Zedd,1143,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa,2018-11-01,sk
73,no tears left to cry,Ariana Grande,1139,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,2018-11-01,sk
74,Jackie Chan,Tiësto,1130,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp,2018-11-01,sk
75,Vozíme,Ego,1112,https://open.spotify.com/track/2ZkzWeBRaUDWiM1So7KBK7,2018-11-01,sk
76,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,1111,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW,2018-11-01,sk
77,Havana (feat. Young Thug),Camila Cabello,1109,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,2018-11-01,sk
78,The Middle,Zedd,1105,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,2018-11-01,sk
79,These Days,Rudimental,1100,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x,2018-11-01,sk
80,Diamond Heart,Alan Walker,1086,https://open.spotify.com/track/4J4zx8xGJpuGndrVc06KaT,2018-11-01,sk
81,V Meste Snov,Ego,1078,https://open.spotify.com/track/5h0qay449Zex9XSHxNuzm7,2018-11-01,sk
82,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",Imagine Dragons,1076,https://open.spotify.com/track/0cDwUAF7yQrOLRcFfJpSc2,2018-11-01,sk
83,Happy Now,Kygo,1065,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4,2018-11-01,sk
84,lovely (with Khalid),Billie Eilish,1055,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,2018-11-01,sk
85,Wake Up in the Sky,Gucci Mane,1035,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq,2018-11-01,sk
86,Darkside,Alan Walker,1032,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG,2018-11-01,sk
87,Shape of You,Ed Sheeran,1029,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2018-11-01,sk
88,Another One Bites The Dust - Remastered 2011,Queen,1024,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,2018-11-01,sk
89,Sedm,Nik Tendo,1016,https://open.spotify.com/track/7Kk3JdKFFQv1YN2hluyx1J,2018-11-01,sk
90,My Blood,Twenty One Pilots,1016,https://open.spotify.com/track/5HeKOKc4phmLn8e4I7EkzD,2018-11-01,sk
91,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,1015,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG,2018-11-01,sk
92,10 Minút (feat. Dms),Nerieš,1013,https://open.spotify.com/track/7b8IO38NDvqP9ULAllFbwM,2018-11-01,sk
93,Poď so mnou,I.M.T. Smile,1013,https://open.spotify.com/track/5zE8jYALzAISn0aO3BBAs7,2018-11-01,sk
94,Checklist (with Calvin Harris) (feat. WizKid),Normani,1012,https://open.spotify.com/track/5xesHO6GLWTrjsKOjAXRmf,2018-11-01,sk
95,High On Life (feat. Bonn),Martin Garrix,1009,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy,2018-11-01,sk
96,Ocean (feat. Khalid),Martin Garrix,1004,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS,2018-11-01,sk
97,REMEDY,Alesso,1002,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg,2018-11-01,sk
Position,Track Name,Artist,Streams,URL,2018-11-02,sk
1,Shallow,Lady Gaga,7895,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2018-11-02,sk
2,In My Mind,Dynoro,5046,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2018-11-02,sk
3,Naháňame šťastie,Nerieš,4347,https://open.spotify.com/track/6zgLem6JNcBrSfsSyOmc0O,2018-11-02,sk
4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,4258,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2018-11-02,sk
5,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,4037,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8,2018-11-02,sk
6,Always Remember Us This Way,Lady Gaga,3960,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,2018-11-02,sk
7,Without Me,Halsey,3936,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2018-11-02,sk
8,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,3893,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2018-11-02,sk
9,Happier,Marshmello,3459,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2018-11-02,sk
10,Natural,Imagine Dragons,3377,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP,2018-11-02,sk
11,Promises (with Sam Smith),Calvin Harris,3123,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2018-11-02,sk
12,Let You Love Me,Rita Ora,2980,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS,2018-11-02,sk
13,Machine,Imagine Dragons,2964,https://open.spotify.com/track/5ftQSVAHs7iqULWKQn0fjK,2018-11-02,sk
14,when the party's over,Billie Eilish,2855,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2018-11-02,sk
15,Kiss and Make Up,Dua Lipa,2802,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2018-11-02,sk
16,Better,Khalid,2737,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2018-11-02,sk
17,Woman Like Me (feat. Nicki Minaj),Little Mix,2690,https://open.spotify.com/track/6rrTr2HEAzlpC4KWZxF3S1,2018-11-02,sk
18,Falling Down - Bonus Track,Lil Peep,2662,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q,2018-11-02,sk
19,Better Now,Post Malone,2652,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2018-11-02,sk
20,Venom - Music From The Motion Picture,Eminem,2642,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4,2018-11-02,sk
