"","Group.1","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","country_name"
"1","ARG",0.74369,0.6827,-5.12243,0.142512,0.2631061,0.0021597763,0.158718,0.6288,122.05037,"Argentina"
"2","AUS",0.693,0.60857,-6.4434,0.111653,0.2377842,0.0064235356,0.173312,0.471137,118.50367,"Australia"
"3","AUT",0.70591,0.65766,-6.19941,0.160159,0.25574667,0.0091643653,0.138731,0.51448,120.91429,"Austria"
"4","BEL",0.69131,0.65279,-6.06784,0.098686,0.259454,0.003802982,0.171947,0.464237,118.9402,"Belgium"
"5","BGR",0.70278,0.63563,-6.16569,0.132842,0.207743454,0.0100500158,0.156468,0.502842,123.75915,"Bulgaria"
"6","BOL",0.74743,0.6971,-4.74892,0.136324,0.2437978,0.0046202946,0.129597,0.65857,123.47792,"Bolivia"
"7","BRA",0.67752,0.72802,-5.00531,0.117949,0.356889,0.001428319,0.379537,0.66153,126.20922,"Brazil"
"8","CAN",0.72754,0.60187,-6.36795,0.118965,0.2275823,0.0066169872,0.169778,0.45042,115.83781,"Canada"
"9","CHE",0.7142,0.65188,-6.00753,0.136768,0.25167397,0.0078833996,0.149918,0.47963,120.13918,"Switzerland"
"10","CHL",0.7563,0.71171,-4.64836,0.135867,0.2642893,0.0075525065,0.138408,0.60491,121.93112,"Chile"
"11","COL",0.74722,0.71208,-4.70653,0.143512,0.233649,0.0046239216,0.147341,0.66451,123.44114,"Colombia"
"12","CRI",0.74365,0.67993,-4.86829,0.13346,0.2584033,0.0046269787,0.145651,0.64557,120.28714,"Costa Rica"
"13","CZE",0.67316,0.64782,-6.35536,0.094976,0.21014132,0.0081760918,0.176209,0.471614,119.65565,"Czechia"
"14","DEU",0.72359,0.67496,-5.98376,0.16289,0.236419724,0.0070635631,0.140621,0.545517,123.87788,"Germany"
"15","DNK",0.73551,0.63396,-6.15249,0.128972,0.2128491,0.0073326314,0.12441,0.5293,118.5961,"Denmark"
"16","DOM",0.757,0.70067,-4.85861,0.141228,0.277708,0.0078709459,0.160019,0.60826,122.7994,"Dominican Republic"
"17","ECU",0.7553,0.71663,-4.69683,0.133109,0.236579,0.0046271356,0.143089,0.67245,119.32271,"Ecuador"
"18","ESP",0.74178,0.68602,-5.0344,0.14091,0.260016,0.0019812273,0.145799,0.60974,117.26072,"Spain"
"19","EST",0.69898,0.61296,-6.73291,0.117097,0.243860654,0.0250200377,0.16259,0.469537,118.5381,"Estonia"
"20","FIN",0.68285,0.67858,-6.12849,0.086551,0.194552454,0.0073155667,0.158847,0.493117,118.94026,"Finland"
"21","FRA",0.74399,0.65653,-6.25338,0.139901,0.3113507,0.0019248407,0.146151,0.52341,121.7469,"France"
"22","GBR",0.70079,0.64624,-6.12407,0.136299,0.24131482,0.006343619,0.146471,0.486557,119.48768,"United Kingdom"
"23","GRC",0.73592,0.64234,-6.62115,0.149695,0.2474151,0.0062290892,0.140595,0.467792,121.8136,"Greece"
